Drug name	DrugBankID	# genes in drug DBs and network	# drugbank	# dgidb	# chembl	# drugcentral
ketazolam	DB01587	5	5	0	0	0
bifeprunox	DB04888	5	2	5	2	0
ribavirin	DB00811	5	4	2	1	3
gestrinone	DB11619	5	5	0	0	0
ritonavir	DB00503	5	1	2	0	3
ethambutol	DB00330	5	0	0	0	5
pentazocine	DB00652	5	3	3	0	4
riociguat	DB08931	5	1	4	3	2
atomoxetine	DB00289	5	4	3	1	4
naphazoline	DB06711	5	2	0	4	2
venlafaxine	DB00285	5	3	2	2	5
flecainide	DB01195	5	3	2	1	5
pioglitazone	DB01132	5	4	2	1	4
quinethazone	DB01325	5	5	1	1	1
chlorothiazide	DB00880	5	4	5	1	2
hydroxychloroquine	DB01611	5	2	3	2	4
etacrynic acid	DB00903	5	4	2	1	1
gallium nitrate	DB05260	5	3	4	3	0
ketoprofen	DB01009	5	3	4	2	2
magnesium sulfate	DB00653	5	5	0	0	0
tacrolimus	DB00864	5	1	1	1	5
mebendazole	DB00643	5	2	3	0	2
l-leucine	DB00149	5	5	0	0	0
phendimetrazine	DB01579	5	3	2	0	3
agomelatine	DB06594	5	3	5	3	5
potassium chloride	DB00761	5	0	4	0	1
methylene blue	DB09241	5	2	0	0	3
tianeptine	DB09289	5	3	1	0	1
talampanel	DB04982	5	4	5	0	0
milnacipran	DB04896	5	3	0	0	4
crisaborole	DB05219	5	4	5	4	5
dabrafenib	DB08912	5	5	1	1	2
tapentadol	DB06204	5	5	2	2	2
brimonidine	DB00484	5	1	1	1	5
minoxidil	DB00350	5	3	3	1	1
ticlopidine	DB00208	5	0	1	0	4
diazoxide	DB01119	5	5	1	0	0
benzydamine	DB09084	5	0	0	2	3
levobunolol	DB01210	5	2	2	2	5
enoximone	DB04880	5	1	1	0	5
fentanyl	DB00813	5	3	3	1	5
2-methoxyestradiol	DB02342	5	4	1	0	0
tetrabenazine	DB04844	5	1	0	0	5
phenolphthalein	DB04824	5	4	0	0	1
rofecoxib	DB00533	5	2	2	1	3
apraclonidine	DB00964	5	2	2	1	4
levobupivacaine	DB01002	5	1	1	1	4
octreotide	DB00104	5	3	4	4	5
miglitol	DB00491	5	3	3	2	3
levosimendan	DB00922	5	2	1	5	2
cyproterone acetate	DB04839	5	2	1	3	4
enprofylline	DB00824	5	5	2	0	4
chloroquine	DB00608	5	3	1	0	1
manganese	DB06757	5	5	0	0	0
sucralfate	DB00364	5	5	0	0	0
fenofibric acid	DB13873	5	4	2	1	0
brompheniramine	DB00835	5	1	0	0	4
clevidipine	DB04920	5	3	5	3	2
dexmedetomidine	DB00633	5	1	2	1	4
isosorbide mononitrate	DB01020	5	1	5	3	4
acarbose	DB00284	5	3	5	2	3
trametinib	DB08911	5	2	5	2	2
tiapride	DB13025	5	3	1	0	3
epinastine	DB00751	5	3	1	0	4
mazindol	DB00579	5	3	3	3	4
triflupromazine	DB00508	5	4	4	1	2
levetiracetam	DB01202	5	2	4	2	4
mivacurium	DB01226	5	1	0	4	3
tolfenamic acid	DB09216	5	2	1	0	4
prednisolone	DB00860	5	1	3	1	4
trihexyphenidyl	DB00376	5	1	4	1	2
nitrous acid	DB09112	5	3	0	0	2
carphenazine	DB01038	5	3	3	3	2
lurasidone	DB08815	5	4	5	2	4
bupivacaine	DB00297	5	1	3	1	4
estriol	DB04573	5	3	1	0	4
betaxolol	DB00195	4	2	4	1	2
olsalazine	DB01250	4	0	0	4	4
idelalisib	DB09054	4	0	4	1	1
pipotiazine	DB01621	4	4	1	0	0
ethopropazine	DB00392	4	2	1	1	4
lucanthone	DB04967	4	3	1	0	0
darifenacin	DB00496	4	1	1	0	4
golotimod	DB05475	4	4	0	0	0
terbinafine	DB00857	4	1	1	0	3
rifampicin	DB01045	4	3	1	0	0
hydroxyprogesterone caproate	DB06789	4	1	2	1	3
tegaserod	DB01079	4	3	1	0	2
aurothioglucose	DB09121	4	3	0	0	1
penbutolol	DB01359	4	4	2	2	3
chenodeoxycholic acid	DB06777	4	3	2	1	1
deserpidine	DB01089	4	0	4	0	0
ximelagatran	DB04898	4	1	1	1	4
norelgestromin	DB06713	4	3	2	1	1
dotarizine	DB06446	4	4	0	0	0
omeprazole	DB00338	4	2	2	2	3
amoxicillin	DB01060	4	0	1	0	3
balsalazide	DB01014	4	4	4	4	4
lorcaserin	DB04871	4	1	3	1	4
prinomastat	DB05100	4	0	4	0	0
doxacurium chloride	DB01135	4	0	4	0	0
buprenorphine	DB00921	4	3	0	0	4
ursodeoxycholic acid	DB01586	4	2	4	1	1
tazarotene	DB00799	4	4	4	3	3
etodolac	DB00749	4	3	3	1	2
bretylium	DB01158	4	1	0	1	3
pramocaine	DB09345	4	0	0	0	4
carbachol	DB00411	4	2	0	0	3
estramustine	DB01196	4	4	0	0	0
colchicine	DB01394	4	2	0	0	3
ephedrine	DB01364	4	3	2	0	1
desvenlafaxine	DB06700	4	2	4	2	3
clofibrate	DB00636	4	1	4	1	1
sodium lauryl sulfate	DB00815	4	0	4	0	0
tofisopam	DB08811	4	4	0	0	0
metocurine iodide	DB00416	4	0	4	0	0
metocurine	DB01336	4	0	4	4	0
triclosan	DB08604	4	4	0	0	0
nilvadipine	DB06712	4	4	0	0	2
lercanidipine	DB00528	4	1	2	0	2
lormetazepam	DB13872	4	4	0	0	0
fulvestrant	DB00947	4	1	0	0	4
epoprostenol	DB01240	4	2	3	1	2
dihydromorphine	DB01565	4	4	3	0	0
diprenorphine	DB01548	4	4	3	0	0
benidipine	DB09231	4	2	0	0	2
methyldopa	DB00968	4	2	1	1	4
loratadine	DB00455	4	1	1	0	3
l-lysine	DB00123	4	3	0	0	1
oxybenzone	DB01428	4	4	0	0	0
azd-8330	DB06061	4	1	3	2	0
megestrol acetate	DB00351	4	2	3	1	2
irbesartan	DB01029	4	2	2	1	2
dicloxacillin	DB00485	4	0	1	0	3
methionine	DB00134	4	4	0	0	0
nateglinide	DB00731	4	1	2	0	1
pasireotide	DB06663	4	4	0	0	4
glipizide	DB01067	4	1	3	0	0
pemetrexed	DB00642	4	4	0	3	2
misoprostol	DB00929	4	3	4	1	3
reboxetine	DB00234	4	1	0	0	4
alfuzosin	DB00346	4	4	3	3	3
tibolone	DB09070	4	1	0	0	4
dilmapimod	DB12140	4	3	1	1	0
bicifadine	DB04889	4	3	1	0	0
piroxicam	DB00554	4	2	4	2	2
tetryzoline	DB06764	4	1	0	4	4
fg-2216	DB08687	4	2	3	0	0
l-glutamine	DB00130	4	3	1	0	0
oxycodone	DB00497	4	4	3	1	3
niacin	DB00627	4	2	4	0	0
tiludronic acid	DB01133	4	2	2	0	1
tioguanine	DB00352	4	0	2	2	4
ketorolac	DB00465	4	2	4	2	2
carteolol	DB00521	4	2	4	2	2
dapoxetine	DB04884	4	3	1	1	1
ranolazine	DB00243	4	1	3	2	2
roflumilast	DB01656	4	4	4	4	4
morphine	DB00295	4	4	3	1	3
cyclopentolate	DB00979	4	1	4	0	0
neratinib	DB11828	4	1	2	4	0
cobimetinib	DB05239	4	1	4	2	2
mefenamic acid	DB00784	4	2	3	2	3
heroin	DB01452	4	4	0	0	0
etoricoxib	DB01628	4	1	2	1	3
levothyroxine	DB00451	4	2	2	2	4
azithromycin	DB00207	4	1	2	0	1
lisdexamfetamine	DB01255	4	2	3	2	2
ouabain	DB01092	4	3	1	0	2
sodium carbonate	DB09460	4	4	0	0	0
epirubicin	DB00445	4	2	3	0	1
imiquimod	DB00724	4	2	1	1	3
orlistat	DB01083	4	3	4	2	2
diiodohydroxyquinoline	DB09115	4	0	0	0	4
alectinib	DB11363	4	1	2	2	3
hydromorphone	DB00327	4	3	4	1	3
isotretinoin	DB00982	4	1	3	3	3
flurbiprofen	DB00712	4	2	4	2	2
tetrodotoxin	DB05232	4	4	0	0	0
fluticasone propionate	DB00588	4	4	2	1	2
triflusal	DB08814	4	4	0	0	0
taurine	DB01956	4	3	1	0	0
rapacuronium	DB04834	4	0	0	4	4
probucol	DB01599	4	2	2	1	2
fenoprofen	DB00573	4	4	2	2	2
cyanocobalamin	DB00115	4	4	0	0	0
venetoclax	DB11581	4	1	4	1	1
everolimus	DB01590	4	1	4	1	2
lorpiprazole	DB09195	4	4	0	0	0
eugenol	DB09086	4	3	0	0	1
lomitapide	DB08827	4	1	3	2	1
fludrocortisone	DB00687	4	3	2	0	2
aminosalicylic acid	DB00233	4	3	0	2	2
selegiline	DB01037	4	1	3	1	2
abiraterone	DB05812	4	1	1	3	2
l-tyrosine	DB00135	4	4	1	0	0
cisatracurium besylate	DB00565	4	0	4	0	0
somatostatin	DB09099	4	0	0	0	4
olopatadine	DB00768	4	4	0	0	0
perampanel	DB08883	4	1	4	4	4
clodronic acid	DB00720	4	3	2	0	0
tolrestat	DB02383	4	3	2	1	1
pranlukast	DB01411	4	3	1	0	0
cyclophosphamide	DB00531	4	1	2	0	1
benzphetamine	DB00865	4	3	0	1	3
sparfloxacin	DB01208	4	1	2	0	1
ribociclib	DB11730	4	2	4	2	2
eltrombopag	DB06210	4	1	4	1	1
fomepizole	DB01213	4	3	3	2	2
moxisylyte	DB09205	4	0	0	4	0
lanreotide	DB06791	4	2	4	2	4
eletriptan	DB00216	4	4	3	1	2
atracurium besylate	DB00732	4	0	4	0	0
physostigmine	DB00981	4	3	2	0	2
pheniramine	DB01620	4	1	0	0	3
naltrexone	DB00704	4	3	4	3	3
sirolimus	DB00877	4	3	3	1	3
alprenolol	DB00866	4	3	2	0	3
vidarabine	DB00194	4	0	0	0	4
granisetron	DB00889	4	0	0	0	4
cilnidipine	DB09232	4	2	1	0	2
pyridostigmine	DB00545	4	3	3	1	2
rocuronium	DB00728	4	0	0	4	4
nalbuphine	DB00844	4	3	4	3	3
flutamide	DB00499	4	3	2	1	1
deoxycholic acid	DB03619	4	3	1	0	0
phenylbutazone	DB00812	4	3	4	2	1
telmisartan	DB00966	3	2	1	1	3
acetophenazine	DB01063	3	3	2	1	1
pantoprazole	DB00213	3	1	1	2	3
glimepiride	DB00222	3	1	2	0	1
midodrine	DB00211	3	3	2	3	1
ezogabine	DB04953	3	3	3	3	3
tanespimycin	DB05134	3	2	3	2	0
tamibarotene	DB04942	3	2	2	0	3
calcitriol	DB00136	3	3	1	1	1
sodium ferric gluconate complex	DB09517	3	3	0	0	0
ergocalciferol	DB00153	3	1	3	1	1
sibutramine	DB01105	3	3	3	3	3
nebivolol	DB04861	3	2	1	2	3
rivanicline	DB05855	3	2	2	0	0
oxygen	DB09140	3	3	0	0	0
eluxadoline	DB09272	3	3	1	1	3
colistin	DB00803	3	0	0	0	3
vintafolide	DB05168	3	3	1	1	0
gemfibrozil	DB01241	3	1	2	1	2
pozanicline	DB05458	3	2	3	3	0
sodium oxybate	DB09072	3	0	3	0	2
norgestimate	DB00957	3	3	2	1	1
antrafenine	DB01419	3	2	0	1	0
midomafetamine	DB01454	3	3	0	0	0
argatroban	DB00278	3	1	0	0	3
propoxyphene napsylate	DB09396	3	3	0	0	0
nabumetone	DB00461	3	2	2	1	3
arotinolol	DB09204	3	3	0	0	0
chlorpropamide	DB00672	3	0	3	0	0
methoxamine	DB00723	3	3	2	3	3
flupirtine	DB06623	3	1	0	0	2
levomethadyl acetate	DB01227	3	2	1	1	2
oxymetholone	DB06412	3	2	1	1	2
azelastine	DB00972	3	0	0	0	3
dicoumarol	DB00266	3	3	1	1	1
butorphanol	DB00611	3	3	3	2	3
glucosamine	DB01296	3	3	0	0	0
viloxazine	DB09185	3	1	0	0	3
beraprost	DB05229	3	1	0	0	3
atenolol	DB00335	3	2	3	1	2
dacarbazine	DB00851	3	2	2	0	0
meloxicam	DB00814	3	2	3	1	2
carfentanil	DB01535	3	3	0	0	0
bambuterol	DB01408	3	1	2	0	3
suprofen	DB00870	3	2	3	2	2
triamcinolone	DB00620	3	1	2	1	2
carisoprodol	DB00395	3	3	0	0	0
lansoprazole	DB00448	3	2	2	2	2
cilomilast	DB03849	3	2	1	0	0
gw-501516	DB05416	3	2	3	0	0
diflorasone	DB00223	3	1	3	0	1
acetohexamide	DB00414	3	1	3	0	0
miglustat	DB00419	3	1	1	1	3
bevantolol	DB01295	3	3	1	0	1
drotaverine	DB06751	3	2	0	0	2
levomilnacipran	DB08918	3	2	3	2	3
ethynodiol diacetate	DB00823	3	2	3	1	0
rhein	DB13174	3	3	0	0	0
salmeterol	DB00938	3	2	1	1	3
anastrozole	DB01217	3	0	3	0	0
idronoxil	DB04915	3	1	2	0	0
toremifene	DB00539	3	2	2	2	1
roxadustat	DB04847	3	3	3	3	0
alvimopan	DB06274	3	3	3	1	3
phentermine	DB00191	3	3	3	1	2
methotrexate	DB00563	3	0	2	1	2
vernakalant	DB06217	3	3	0	0	1
tesmilifene	DB04905	3	1	3	0	0
erythromycin	DB00199	3	2	1	0	1
remifentanil	DB00899	3	3	1	1	1
tirofiban	DB00775	3	2	3	2	2
bismuth subsalicylate	DB01294	3	0	3	2	2
silodosin	DB06207	3	3	2	1	3
ferric pyrophosphate	DB09147	3	3	0	0	0
lumateperone	DB06077	3	2	0	3	0
sodium sulfate	DB09472	3	2	1	0	0
levofloxacin	DB01137	3	1	1	0	1
lesinurad	DB11560	3	2	2	1	2
albendazole	DB00518	3	2	1	0	0
migalastat	DB05018	3	1	1	1	3
vemurafenib	DB08881	3	1	2	1	3
trimethoprim	DB00440	3	2	2	0	1
glycine betaine	DB06756	3	1	2	0	0
desoximetasone	DB00547	3	1	3	1	1
methylnaltrexone	DB06800	3	2	3	1	3
desonide	DB01260	3	1	3	1	1
esmirtazapine	DB06678	3	1	2	3	0
glycodiazine	DB01382	3	1	3	0	0
cefotetan	DB01330	3	0	0	0	3
formoterol	DB00983	3	2	1	1	3
fluorouracil	DB00544	3	0	3	1	1
niraparib	DB11793	3	2	2	3	2
pilocarpine	DB01085	3	1	3	1	1
fenretinide	DB05076	3	0	3	0	0
doxapram	DB00561	3	2	1	2	2
drospirenone	DB01395	3	3	3	2	3
tezacitabine	DB06433	3	1	3	3	0
aceclofenac	DB06736	3	2	0	1	2
naldemedine	DB11691	3	3	1	1	1
mometasone	DB00764	3	2	2	0	2
elafibranor	DB05187	3	3	0	0	0
oseltamivir	DB00198	3	3	0	0	0
aleglitazar	DB08915	3	3	2	2	0
lumiracoxib	DB01283	3	2	2	1	2
dexmethylphenidate	DB06701	3	3	2	2	2
urea	DB03904	3	3	0	0	0
motexafin gadolinium	DB05428	3	3	0	0	0
oxymorphone	DB01192	3	2	2	3	3
permethrin	DB04930	3	3	0	0	0
parecoxib	DB08439	3	2	1	1	2
anagrelide	DB00261	3	1	1	2	2
exemestane	DB00990	3	0	2	0	1
sufentanil	DB00708	3	3	3	1	3
armodafinil	DB06413	3	1	1	1	3
histidine	DB00117	3	3	0	0	0
manidipine	DB09238	3	1	0	0	2
vapreotide	DB04894	3	3	0	0	0
ciprofloxacin	DB00537	3	2	0	0	2
pimecrolimus	DB00337	3	2	2	1	2
ixazomib	DB09570	3	0	1	0	3
salbutamol	DB01001	3	2	2	1	2
chromic chloride	DB09129	3	1	0	0	2
tolmetin	DB00500	3	2	2	2	3
carbidopa	DB00190	3	1	0	1	3
phenserine	DB04892	3	3	1	0	0
isoflurophate	DB00677	3	2	2	1	0
limaprost	DB09211	3	3	0	0	0
clofazimine	DB00845	3	0	3	0	0
repaglinide	DB00912	3	1	1	0	1
vadimezan	DB06235	3	0	3	0	0
etidronic acid	DB01077	3	2	2	0	0
carprofen	DB00821	3	2	2	1	2
benzonatate	DB00868	3	1	3	0	1
pimagedine	DB05383	3	3	1	0	0
framycetin	DB00452	3	2	0	0	1
hydrocodone	DB00956	3	2	3	3	2
moxonidine	DB09242	3	2	0	1	3
codeine	DB00318	3	3	3	3	3
sapropterin	DB00360	3	3	3	1	1
nedocromil	DB00716	3	3	0	0	0
diphenoxylate	DB01081	3	2	1	1	2
biricodar dicitrate	DB04851	3	3	0	0	0
methyltestosterone	DB06710	3	2	1	1	2
sotalol	DB00489	3	3	3	3	3
arformoterol	DB01274	3	1	2	1	2
scopolamine	DB00747	3	3	0	0	1
prednicarbate	DB01130	3	1	3	1	1
odanacatib	DB06670	3	1	3	1	0
aranidipine	DB09229	3	3	0	0	2
dofetilide	DB00204	3	1	3	1	2
dequalinium	DB04209	3	2	1	0	0
hydrocortamate	DB00769	3	1	3	1	1
zidovudine	DB00495	3	1	0	0	2
captodiame	DB09014	3	3	0	0	0
sodium aurothiomalate	DB09276	3	0	0	0	3
propacetamol	DB09288	3	3	0	0	0
olcegepant	DB04869	3	2	3	1	0
mestranol	DB01357	3	1	1	1	3
eniluracil	DB03516	3	3	1	1	0
binodenoson	DB04853	3	1	3	1	0
pirbuterol	DB01291	3	2	2	1	1
canertinib	DB05424	3	1	2	3	0
stiripentol	DB09118	3	2	0	0	1
norgestrel	DB09389	3	2	2	1	0
ulipristal	DB08867	3	3	1	1	1
naratriptan	DB00952	3	2	3	1	2
diethylpropion	DB00937	3	2	3	2	2
fluocinolone acetonide	DB00591	3	1	3	1	1
alfacalcidol	DB01436	3	2	0	1	2
malathion	DB00772	3	1	1	0	1
lifitegrast	DB11611	3	1	3	2	2
medroxyprogesterone acetate	DB00603	3	2	2	1	0
prednisone	DB00635	3	2	2	1	1
monobenzone	DB00600	3	0	0	0	3
tolterodine	DB01036	3	1	2	0	2
trovafloxacin	DB00685	3	1	1	0	1
theobromine	DB01412	3	3	0	0	0
piboserod	DB04873	3	0	3	0	0
mersalyl	DB09338	3	3	0	0	0
topotecan	DB01030	3	2	2	1	3
timolol	DB00373	3	2	2	2	3
oxaprozin	DB00991	3	2	3	2	2
regadenoson	DB06213	3	1	3	1	3
enoxacin	DB00467	3	1	2	0	0
pholcodine	DB09209	3	3	0	0	0
celiprolol	DB04846	3	2	0	3	2
fluocinonide	DB01047	3	2	2	1	1
gramicidin d	DB00027	3	0	0	0	3
zolmitriptan	DB00315	3	2	3	1	2
azelnidipine	DB09230	3	1	0	0	2
rucaparib	DB12332	3	3	3	3	3
isoniazid	DB00951	3	0	1	0	2
acebutolol	DB01193	3	2	2	1	2
pimavanserin	DB05316	3	2	1	1	2
dienogest	DB09123	3	2	2	0	1
plerixafor	DB06809	3	1	3	1	2
dimethyltryptamine	DB01488	3	3	1	0	0
gliclazide	DB01120	3	1	1	0	1
aprepitant	DB00673	3	1	2	1	2
mycophenolic acid	DB01024	3	2	3	2	2
lonidamine	DB06266	3	2	1	0	0
simvastatin	DB00641	3	3	1	1	1
guaiacol	DB11359	3	1	0	0	2
metipranolol	DB01214	2	2	2	2	2
estrone sulfate	DB04574	2	2	0	1	2
ivabradine	DB09083	2	0	1	0	2
eprotirome	DB05035	2	2	1	1	0
vilanterol	DB09082	2	1	1	1	2
procarbazine	DB01168	2	1	1	0	0
halofuginone	DB04866	2	2	0	0	0
doxofylline	DB09273	2	2	0	0	0
medrysone	DB00253	2	1	2	1	1
chlorzoxazone	DB00356	2	1	2	1	1
pralidoxime	DB00733	2	2	1	1	1
saxagliptin	DB06335	2	1	1	1	2
varlitinib	DB05944	2	2	2	2	0
talniflumate	DB09295	2	1	1	0	0
cefalotin	DB00456	2	0	1	0	1
letrozole	DB01006	2	0	2	0	0
gamma hydroxybutyric acid	DB01440	2	2	0	0	0
tenoxicam	DB00469	2	2	2	0	2
demecarium	DB00944	2	2	0	1	1
flurandrenolide	DB00846	2	1	2	1	1
lipoic acid	DB00166	2	2	0	0	0
gentamicin	DB00798	2	2	0	0	1
cetirizine	DB00341	2	0	0	0	2
trolamine salicylate	DB11079	2	2	0	0	0
azacitidine	DB00928	2	1	2	2	2
sodium tetradecyl sulfate	DB00464	2	2	1	0	0
stannsoporfin	DB04912	2	2	0	0	0
nalidixic acid	DB00779	2	0	1	0	1
levonordefrin	DB06707	2	0	1	1	2
alvespimycin	DB12442	2	1	2	0	0
sulfisoxazole	DB00263	2	0	1	0	1
anileridine	DB00913	2	1	1	2	1
paramethasone	DB01384	2	1	2	0	0
droxicam	DB09215	2	2	0	0	0
oxamniquine	DB01096	2	0	2	0	0
cinitapride	DB08810	2	2	0	0	0
becocalcidiol	DB04891	2	2	1	1	0
angiotensin ii	DB11842	2	1	2	1	0
rosuvastatin	DB01098	2	1	1	1	2
sodium stibogluconate	DB05630	2	1	1	0	0
efonidipine	DB09235	2	1	0	0	2
lomefloxacin	DB00978	2	1	1	0	0
busulfan	DB01008	2	0	2	0	0
dexrazoxane	DB00380	2	2	0	0	0
bradanicline	DB06090	2	0	2	1	0
lofexidine	DB04948	2	1	1	0	2
fondaparinux sodium	DB00569	2	2	2	0	0
amonafide	DB05022	2	2	2	0	0
netupitant	DB09048	2	1	2	1	1
azimilide	DB04957	2	2	0	0	1
etoposide	DB00773	2	2	2	2	1
naftifine	DB00735	2	1	1	0	1
rimexolone	DB00896	2	1	2	1	1
doxylamine	DB00366	2	2	0	0	0
apixaban	DB06605	2	1	1	1	2
tasimelteon	DB09071	2	2	2	2	2
levallorphan	DB00504	2	1	1	2	1
dihomo-gamma-linolenic acid	DB00154	2	2	1	0	0
lumefantrine	DB06708	2	0	1	0	1
amcinonide	DB00288	2	2	2	1	1
7-ethyl-10-hydroxycamptothecin	DB05482	2	1	2	0	0
tioconazole	DB01007	2	1	0	0	1
equilin	DB02187	2	2	0	0	0
itopride	DB04924	2	1	2	0	0
allylestrenol	DB01431	2	2	0	0	0
ethyl pyruvate	DB05869	2	2	0	0	0
alosetron	DB00969	2	0	0	0	2
levobetaxolol	DB09351	2	1	2	1	2
oxprenolol	DB01580	2	2	2	2	2
difluocortolone	DB09095	2	2	0	0	0
hexafluronium	DB00941	2	1	0	1	1
azilsartan medoxomil	DB08822	2	1	1	1	1
arbaclofen placarbil	DB08892	2	2	2	2	0
cilazapril	DB01340	2	1	1	2	1
halcinonide	DB06786	2	1	1	1	1
bisacodyl	DB09020	2	0	0	0	2
ifosfamide	DB01181	2	1	1	0	0
cholecalciferol	DB00169	2	1	2	1	1
menthol	DB00825	2	2	0	0	1
ethinamate	DB01031	2	2	1	0	0
tranexamic acid	DB00302	2	1	2	1	1
nicorandil	DB09220	2	1	0	0	1
pirlindole	DB09244	2	2	0	0	0
vigabatrin	DB01080	2	2	2	1	1
metixene	DB00340	2	1	1	2	2
cefazolin	DB01327	2	1	1	0	0
metoprolol	DB00264	2	2	2	1	2
iodine	DB05382	2	1	1	0	0
enalaprilat	DB09477	2	2	1	1	1
rasagiline	DB01367	2	2	1	1	1
testosterone propionate	DB01420	2	1	1	1	2
teniposide	DB00444	2	1	2	2	1
ranitidine	DB00863	2	2	0	0	1
lefradafiban	DB04863	2	2	0	0	0
prasugrel	DB06209	2	0	2	0	0
bromopride	DB09018	2	1	0	0	2
olodaterol	DB09080	2	1	1	1	2
seletracetam	DB05885	2	2	0	0	0
chlorotrianisene	DB00269	2	1	2	1	2
metolazone	DB00524	2	1	2	1	2
pentosan polysulfate	DB00686	2	2	0	0	0
oxandrolone	DB00621	2	1	2	1	1
bromfenac	DB00963	2	1	2	2	2
alanosine	DB05540	2	2	0	0	0
esomeprazole	DB00736	2	1	1	2	2
tesaglitazar	DB06536	2	2	2	2	0
ambroxol	DB06742	2	0	0	0	2
vorapaxar	DB09030	2	1	2	1	1
cortisone acetate	DB01380	2	1	1	1	2
terbutaline	DB00871	2	2	1	1	1
diphenylpyraline	DB01146	2	1	0	0	2
glycopyrronium	DB00986	2	1	2	0	0
tizanidine	DB00697	2	2	1	1	2
acemetacin	DB13783	2	2	0	2	2
isopropamide	DB01625	2	0	1	1	1
nepafenac	DB06802	2	2	2	2	2
sitaxentan	DB06268	2	1	2	1	1
raltitrexed	DB00293	2	1	1	1	2
cinoxacin	DB00827	2	0	1	0	1
cyclandelate	DB04838	2	2	0	0	0
lopinavir	DB01601	2	0	1	0	1
practolol	DB01297	2	1	2	0	1
acetohydroxamic acid	DB00551	2	0	1	0	1
alclofenac	DB13167	2	1	0	1	2
aminolevulinic acid	DB00855	2	1	2	0	0
desogestrel	DB00304	2	2	2	1	1
frovatriptan	DB00998	2	1	2	1	2
perindopril	DB00790	2	2	1	1	1
guanadrel	DB00226	2	1	0	1	2
bacitracin	DB00626	2	2	0	0	0
lasofoxifene	DB06202	2	2	1	0	2
wf10	DB05389	2	2	0	0	0
miltefosine	DB09031	2	1	1	0	0
tolazamide	DB00839	2	0	2	0	0
pralatrexate	DB06813	2	2	1	1	1
tasosartan	DB01349	2	2	1	1	1
dexketoprofen	DB09214	2	0	0	2	2
gabexate	DB12831	2	2	0	0	0
indisulam	DB06370	2	0	2	0	0
dezocine	DB01209	2	2	2	2	2
l-tryptophan	DB00150	2	0	2	0	0
rivastigmine	DB00989	2	2	2	2	2
cystine	DB00138	2	2	0	0	0
nandrolone phenpropionate	DB00984	2	1	1	1	2
bentiromide	DB00522	2	1	2	0	0
antipyrine	DB01435	2	2	0	1	0
alclometasone	DB00240	2	1	2	0	1
tiaprofenic acid	DB01600	2	2	1	0	2
aminophenazone	DB01424	2	0	0	0	2
he3286	DB05212	2	2	0	0	0
plecanatide	DB13170	2	1	1	1	1
bisoprolol	DB00612	2	2	1	1	2
novobiocin	DB01051	2	0	2	0	0
neostigmine	DB01400	2	1	1	1	2
ramelteon	DB00980	2	2	2	2	2
tetracycline	DB00759	2	2	0	0	0
oxacillin	DB00713	2	0	0	0	2
nafcillin	DB00607	2	0	2	0	0
stanozolol	DB06718	2	0	1	1	2
oxitriptan	DB02959	2	0	0	0	2
febuxostat	DB04854	2	1	1	1	2
metyrapone	DB01011	2	0	1	0	1
mitiglinide	DB01252	2	1	1	0	0
pentolinium	DB01090	2	1	1	1	1
sulfacetamide	DB00634	2	0	1	0	1
lubiprostone	DB01046	2	1	2	1	1
zomepirac	DB04828	2	0	0	0	2
gemeprost	DB08964	2	2	0	0	0
ceftazidime	DB00438	2	0	2	0	0
decitabine	DB01262	2	1	2	2	2
omapatrilat	DB00886	2	2	1	0	2
arbaclofen	DB08891	2	2	2	2	0
quinestrol	DB04575	2	1	2	2	1
loxoprofen	DB09212	2	0	0	0	2
isoetarine	DB00221	2	2	1	1	1
inosine	DB04335	2	1	1	0	0
fingolimod	DB08868	2	1	1	1	1
levamisole	DB00848	2	1	1	0	0
lisinopril	DB00722	2	1	2	1	1
amodiaquine	DB00613	2	1	0	0	1
fenoterol	DB01288	2	2	1	1	1
ospemifene	DB04938	2	1	2	2	1
beclomethasone dipropionate	DB00394	2	1	1	1	2
sulfadiazine	DB00359	2	0	0	0	2
amifostine	DB01143	2	1	0	0	1
amineptine	DB04836	2	2	0	0	0
phenindione	DB00498	2	1	1	1	2
aliskiren	DB09026	2	1	1	1	2
azelaic acid	DB00548	2	0	2	0	0
eplerenone	DB00700	2	1	1	1	2
quinagolide	DB09097	2	2	1	0	0
benzylpenicilloyl polylysine	DB00895	2	2	2	0	0
zafirlukast	DB00549	2	0	0	0	2
icatibant	DB06196	2	1	2	1	1
etonogestrel	DB00294	2	2	2	1	2
varespladib methyl	DB05737	2	2	2	2	0
elsamitrucin	DB05129	2	2	0	0	0
cilostazol	DB01166	2	1	2	1	2
rifabutin	DB00615	2	2	0	0	0
alverine	DB01616	2	1	0	2	0
moxifloxacin	DB00218	2	1	1	0	0
zenarestat	DB02132	2	1	2	0	0
trilostane	DB01108	2	2	0	0	0
dimethylthiambutene	DB01444	2	2	0	0	0
dimethyl fumarate	DB08908	2	2	1	1	1
dextrothyroxine	DB00509	2	2	2	2	2
amprenavir	DB00701	2	0	1	0	1
budesonide	DB01222	2	1	1	1	2
goserelin	DB00014	2	1	2	0	1
fleroxacin	DB04576	2	1	1	0	0
chlormerodrin	DB00534	2	2	0	0	0
apadenoson	DB05009	2	1	2	1	0
voglibose	DB04878	2	1	1	2	1
trioxsalen	DB04571	2	0	0	0	2
capecitabine	DB01101	2	1	2	1	1
