DOID	DrugBankID	Palliative/Treatment
DOID:5419	DB00408	palliative
DOID:0050425	DB00268	palliative
DOID:0050425	DB00190	palliative
DOID:3393	DB01020	palliative
DOID:2377	DB00829	palliative
DOID:14330	DB01186	palliative
DOID:1324	DB00813	palliative
DOID:1094	DB00575	palliative
DOID:10652	DB00268	palliative
DOID:6364	DB00952	palliative
DOID:5419	DB00313	palliative
DOID:5419	DB01198	palliative
DOID:3083	DB00254	palliative
DOID:6364	DB00635	palliative
DOID:8893	DB01401	palliative
DOID:10283	DB01233	palliative
DOID:594	DB00458	palliative
DOID:1595	DB00540	palliative
DOID:1612	DB00286	palliative
DOID:5419	DB00734	palliative
DOID:0050741	DB00475	palliative
DOID:3312	DB00996	palliative
DOID:7148	DB01399	palliative
DOID:0050741	DB00904	palliative
DOID:418	DB00797	palliative
DOID:3312	DB00363	palliative
DOID:8398	DB00316	palliative
DOID:1595	DB00321	palliative
DOID:1595	DB00458	palliative
DOID:3393	DB00295	palliative
DOID:418	DB00586	palliative
DOID:3310	DB01142	palliative
DOID:8398	DB01296	palliative
DOID:11119	DB00575	palliative
DOID:8398	DB00461	palliative
DOID:5419	DB00472	palliative
DOID:7148	DB00281	palliative
DOID:5041	DB00338	palliative
DOID:8893	DB01398	palliative
DOID:8986	DB01576	palliative
DOID:9074	DB00814	palliative
DOID:7148	DB00991	palliative
DOID:6364	DB00201	palliative
DOID:14330	DB00190	palliative
DOID:14330	DB01075	palliative
DOID:784	DB00910	palliative
DOID:9074	DB00321	palliative
DOID:4481	DB01364	palliative
DOID:5419	DB00679	palliative
DOID:5419	DB01068	palliative
DOID:1612	DB00624	palliative
DOID:8986	DB00182	palliative
DOID:12930	DB01427	palliative
DOID:418	DB00281	palliative
DOID:0050425	DB00575	palliative
DOID:3310	DB00427	palliative
DOID:418	DB01240	palliative
DOID:3312	DB00734	palliative
DOID:1595	DB00656	palliative
DOID:13189	DB00945	palliative
DOID:14330	DB01367	palliative
DOID:8398	DB00861	palliative
DOID:8986	DB01440	palliative
DOID:594	DB00540	palliative
DOID:6364	DB00320	palliative
DOID:8893	DB00936	palliative
DOID:418	DB00404	palliative
DOID:594	DB00934	palliative
DOID:0050742	DB00184	palliative
DOID:9744	DB00104	palliative
DOID:1612	DB06710	palliative
DOID:3312	DB01238	palliative
DOID:2377	DB00996	palliative
DOID:332	DB00514	palliative
DOID:10283	DB00741	palliative
DOID:8398	DB00788	palliative
DOID:11612	DB01395	palliative
DOID:14330	DB00248	palliative
DOID:14330	DB00387	palliative
DOID:6364	DB00924	palliative
DOID:2531	DB00482	palliative
DOID:1319	DB00959	palliative
DOID:14330	DB01037	palliative
DOID:7147	DB00814	palliative
DOID:8986	DB00745	palliative
DOID:7148	DB00861	palliative
DOID:6364	DB01435	palliative
DOID:418	DB00338	palliative
DOID:3312	DB00334	palliative
DOID:6364	DB01173	palliative
DOID:594	DB01242	palliative
DOID:2841	DB00668	palliative
DOID:12306	DB00600	palliative
DOID:2377	DB00697	palliative
DOID:3312	DB00215	palliative
DOID:11612	DB00717	palliative
DOID:10763	DB01119	palliative
DOID:11119	DB00657	palliative
DOID:10652	DB01224	palliative
DOID:7148	DB00482	palliative
DOID:2377	DB00564	palliative
DOID:7147	DB00500	palliative
DOID:5419	DB00623	palliative
DOID:418	DB00820	palliative
DOID:4481	DB00668	palliative
DOID:784	DB00258	palliative
DOID:0050425	DB00413	palliative
DOID:14330	DB00424	palliative
DOID:8778	DB00424	palliative
DOID:9744	DB00203	palliative
DOID:3393	DB00343	palliative
DOID:594	DB00186	palliative
DOID:1094	DB00285	palliative
DOID:2377	DB00540	palliative
DOID:6364	DB01233	palliative
DOID:10283	DB00706	palliative
DOID:11612	DB00304	palliative
DOID:2377	DB00230	palliative
DOID:12849	DB01068	palliative
DOID:8398	DB00814	palliative
DOID:10652	DB00502	palliative
DOID:2377	DB00321	palliative
DOID:1686	DB00668	palliative
DOID:11119	DB00502	palliative
DOID:1612	DB08866	palliative
DOID:12849	DB01104	palliative
DOID:12849	DB00245	palliative
DOID:594	DB00490	palliative
DOID:1595	DB00176	palliative
DOID:5419	DB01075	palliative
DOID:3393	DB00975	palliative
DOID:10283	DB00443	palliative
DOID:4481	DB00852	palliative
DOID:1612	DB01234	palliative
DOID:14330	DB00413	palliative
DOID:5419	DB00245	palliative
DOID:1319	DB00620	palliative
DOID:8398	DB00749	palliative
DOID:0050425	DB00230	palliative
DOID:418	DB01233	palliative
DOID:219	DB01234	palliative
DOID:3312	DB00906	palliative
DOID:6364	DB00945	palliative
DOID:784	DB00746	palliative
DOID:1094	DB00745	palliative
DOID:1595	DB00476	palliative
DOID:9074	DB00788	palliative
DOID:1612	DB01420	palliative
DOID:3393	DB00883	palliative
DOID:7148	DB01401	palliative
DOID:2377	DB00915	palliative
DOID:8398	DB00945	palliative
DOID:11476	DB00621	palliative
DOID:6364	DB00696	palliative
DOID:784	DB00136	palliative
DOID:14330	DB00714	palliative
DOID:14330	DB05271	palliative
DOID:263	DB00338	palliative
DOID:263	DB00482	palliative
DOID:2377	DB01068	palliative
DOID:4481	DB00935	palliative
DOID:14330	DB00376	palliative
DOID:11119	DB00734	palliative
DOID:5419	DB00334	palliative
DOID:6364	DB00918	palliative
DOID:14330	DB01235	palliative
DOID:784	DB00695	palliative
DOID:12849	DB00734	palliative
DOID:0050425	DB00564	palliative
DOID:418	DB01394	palliative
DOID:11119	DB00850	palliative
DOID:0050425	DB01235	palliative
DOID:1612	DB00603	palliative
DOID:7148	DB00814	palliative
DOID:1094	DB01151	palliative
DOID:0050425	DB01068	palliative
DOID:7147	DB00586	palliative
DOID:8986	DB01577	palliative
DOID:7148	DB00788	palliative
DOID:2377	DB00425	palliative
DOID:3393	DB00390	palliative
DOID:2377	DB06637	palliative
DOID:14330	DB00494	palliative
DOID:1319	DB01234	palliative
DOID:1094	DB00182	palliative
DOID:1094	DB01577	palliative
DOID:12995	DB00502	palliative
DOID:2841	DB01364	palliative
DOID:3393	DB00381	palliative
DOID:7148	DB00996	palliative
DOID:2377	DB01589	palliative
DOID:8398	DB00573	palliative
DOID:12849	DB01238	palliative
DOID:5419	DB00477	palliative
DOID:8398	DB00328	palliative
DOID:594	DB01247	palliative
DOID:6364	DB00697	palliative
DOID:2377	DB00181	palliative
DOID:2841	DB00852	palliative
DOID:8398	DB00605	palliative
DOID:11119	DB01186	palliative
DOID:594	DB01068	palliative
DOID:8398	DB00318	palliative
DOID:263	DB01234	palliative
DOID:5419	DB00555	palliative
DOID:5419	DB00831	palliative
DOID:2531	DB00959	palliative
DOID:3312	DB00564	palliative
DOID:594	DB00215	palliative
DOID:10283	DB00338	palliative
DOID:1595	DB00715	palliative
DOID:14330	DB00996	palliative
DOID:5419	DB00246	palliative
DOID:7147	DB00788	palliative
DOID:2377	DB01036	palliative
DOID:6364	DB00216	palliative
DOID:6364	DB00953	palliative
DOID:6364	DB00328	palliative
DOID:10283	DB01234	palliative
DOID:1612	DB00655	palliative
DOID:594	DB01104	palliative
DOID:5419	DB01623	palliative
DOID:594	DB00285	palliative
DOID:418	DB00736	palliative
DOID:10283	DB00482	palliative
DOID:14330	DB00323	palliative
DOID:263	DB00443	palliative
DOID:14330	DB00268	palliative
DOID:2377	DB01198	palliative
DOID:1595	DB01238	palliative
DOID:6364	DB00586	palliative
DOID:5419	DB00434	palliative
DOID:14330	DB00687	palliative
DOID:3393	DB01115	palliative
DOID:3083	DB06151	palliative
DOID:12930	DB00390	palliative
DOID:8398	DB00959	palliative
DOID:6364	DB00434	palliative
DOID:12849	DB00575	palliative
DOID:3312	DB00656	palliative
DOID:8398	DB01050	palliative
DOID:7148	DB00328	palliative
DOID:418	DB00482	palliative
DOID:0050425	DB00996	palliative
DOID:2377	DB00203	palliative
DOID:6364	DB00669	palliative
DOID:1595	DB01104	palliative
DOID:14330	DB00745	palliative
DOID:8398	DB00991	palliative
DOID:5419	DB01238	palliative
DOID:14330	DB00572	palliative
DOID:7147	DB00482	palliative
DOID:1793	DB00104	palliative
DOID:5419	DB00502	palliative
DOID:2377	DB00745	palliative
DOID:5419	DB00933	palliative
DOID:8398	DB00122	palliative
DOID:11119	DB00246	palliative
DOID:2377	DB01591	palliative
DOID:6364	DB00998	palliative
DOID:7147	DB00554	palliative
DOID:5419	DB01224	palliative
DOID:8398	DB00586	palliative
DOID:1612	DB00783	palliative
DOID:3312	DB00313	palliative
DOID:5419	DB00564	palliative
DOID:784	DB00887	palliative
DOID:1094	DB01576	palliative
DOID:3312	DB01068	palliative
