Drug name	DrugBankID	# genes in drugbank and network	# genes in drug DBs and network	# genes in network	# genes in total
tizanidine	DB00697	2	2	2	4
albendazole	DB00518	2	3	4	6
acemetacin	DB13783	2	2	2	2
trimethoprim	DB00440	2	3	3	3
nepafenac	DB06802	2	2	2	2
cyclandelate	DB04838	2	2	2	2
naphazoline	DB06711	2	5	5	7
masoprocol	DB00179	2	6	6	7
desogestrel	DB00304	2	2	2	2
methylnaltrexone	DB06800	2	3	3	4
perindopril	DB00790	2	2	2	2
sildenafil	DB00203	2	17	17	23
bacitracin	DB00626	2	2	2	2
lasofoxifene	DB06202	2	2	2	3
wf10	DB05389	2	2	2	2
erlotinib	DB00530	2	24	24	24
pralatrexate	DB06813	2	2	2	2
tasosartan	DB01349	2	2	2	2
hydroxychloroquine	DB01611	2	5	5	6
gabexate	DB12831	2	2	2	4
formoterol	DB00983	2	3	3	4
dezocine	DB01209	2	2	2	2
buspirone	DB00490	2	12	12	12
rivastigmine	DB00989	2	2	2	2
cystine	DB00138	2	2	4	7
quinine	DB00468	2	7	9	10
niraparib	DB11793	2	3	3	3
antipyrine	DB01435	2	2	2	4
tiaprofenic acid	DB01600	2	2	2	2
doxapram	DB00561	2	3	3	4
he3286	DB05212	2	2	2	2
piroxicam	DB00554	2	4	4	4
aceclofenac	DB06736	2	3	3	3
bisoprolol	DB00612	2	2	2	3
mometasone	DB00764	2	3	3	3
doxorubicin	DB00997	2	7	20	23
hydralazine	DB01275	2	6	6	7
mebendazole	DB00643	2	5	5	5
ramelteon	DB00980	2	2	2	2
fg-2216	DB08687	2	4	4	4
tetracycline	DB00759	2	2	3	5
lumiracoxib	DB01283	2	3	3	3
niacin	DB00627	2	4	4	8
tiludronic acid	DB01133	2	4	4	4
fospropofol	DB06716	2	13	13	15
ketorolac	DB00465	2	4	4	4
carteolol	DB00521	2	4	4	6
gemeprost	DB08964	2	2	2	2
oxymorphone	DB01192	2	3	3	3
methylene blue	DB09241	2	5	5	7
omapatrilat	DB00886	2	2	2	2
arbaclofen	DB08891	2	2	2	2
parecoxib	DB08439	2	3	3	3
isoetarine	DB00221	2	2	2	2
fenoterol	DB01288	2	2	2	3
acamprosate	DB00659	2	19	19	24
mefenamic acid	DB00784	2	4	4	6
ciprofloxacin	DB00537	2	3	3	3
pimecrolimus	DB00337	2	3	3	3
levothyroxine	DB00451	2	4	4	4
salbutamol	DB01001	2	3	3	4
lapatinib	DB01259	2	10	10	10
amineptine	DB04836	2	2	2	2
ethotoin	DB00754	2	8	8	11
lisdexamfetamine	DB01255	2	4	4	5
tolmetin	DB00500	2	3	3	3
naproxen	DB00788	2	7	7	7
crizotinib	DB08865	2	28	28	28
ingenol mebutate	DB05013	2	11	11	11
isoflurophate	DB00677	2	3	3	3
quinagolide	DB09097	2	2	2	2
benzylpenicilloyl polylysine	DB00895	2	2	2	2
etidronic acid	DB01077	2	3	3	3
vardenafil	DB00862	2	12	12	13
tubocurarine	DB01199	2	21	21	35
carprofen	DB00821	2	3	4	4
etonogestrel	DB00294	2	2	2	2
varespladib methyl	DB05737	2	2	2	3
elsamitrucin	DB05129	2	2	2	2
epirubicin	DB00445	2	4	4	4
imiquimod	DB00724	2	4	4	5
rifabutin	DB00615	2	2	2	2
mexiletine	DB00379	2	11	11	15
framycetin	DB00452	2	3	3	3
hydrocodone	DB00956	2	3	3	3
trilostane	DB01108	2	2	2	4
dimethylthiambutene	DB01444	2	2	2	2
dimethyl fumarate	DB08908	2	2	2	3
dextrothyroxine	DB00509	2	2	2	3
levobunolol	DB01210	2	5	5	6
moxonidine	DB09242	2	3	3	4
flurbiprofen	DB00712	2	4	4	4
progabide	DB00837	2	12	12	17
chlormerodrin	DB00534	2	2	2	2
diphenoxylate	DB01081	2	3	3	3
probucol	DB01599	2	4	4	4
liotrix	DB01583	2	2	2	2
zimelidine	DB04832	2	11	11	22
salsalate	DB01399	2	2	2	3
nilotinib	DB04868	2	35	35	38
rofecoxib	DB00533	2	5	5	5
methyltestosterone	DB06710	2	3	3	3
clofarabine	DB00631	2	14	14	14
bimatoprost	DB00905	2	2	2	4
apraclonidine	DB00964	2	5	5	8
trimebutine	DB09089	2	2	2	4
potassium	DB01345	2	7	246	350
tolazoline	DB00797	2	6	6	11
dequalinium	DB04209	2	3	3	5
baclofen	DB00181	2	2	2	3
l-threonine	DB00156	2	2	7	9
hexylcaine	DB00473	2	7	7	10
levosimendan	DB00922	2	5	5	7
gallamine triethiodide	DB00483	2	6	6	12
auranofin	DB00995	2	8	8	10
cisapride	DB00604	2	13	13	23
ramipril	DB00178	2	2	2	2
cupric chloride	DB09131	2	2	2	2
droperidol	DB00450	2	16	16	22
olcegepant	DB04869	2	3	3	3
e-2012	DB05171	2	2	2	2
thiamine	DB00152	2	2	16	25
cyproterone acetate	DB04839	2	5	5	5
bazedoxifene	DB06401	2	2	2	2
anthralin	DB11157	2	2	2	3
arbutamine	DB01102	2	2	2	3
depatuxizumab mafodotin	DB11731	2	2	2	2
aminocaproic acid	DB00513	2	2	2	2
papaverine	DB01113	2	12	12	14
cabazitaxel	DB06772	2	15	15	15
ripasudil	DB13165	2	2	2	2
abemaciclib	DB12001	2	2	2	2
flunarizine	DB04841	2	22	22	32
pirbuterol	DB01291	2	3	3	4
imexon	DB05003	2	2	2	2
ribociclib	DB11730	2	4	4	4
bupranolol	DB08808	2	2	2	3
stiripentol	DB09118	2	3	3	5
guvacine	DB08848	2	2	2	4
norgestrel	DB09389	2	3	3	4
magnesium salicylate	DB01397	2	2	2	2
naratriptan	DB00952	2	3	3	5
benzatropine	DB00245	2	11	11	20
diethylpropion	DB00937	2	3	3	3
rolicyclidine	DB01549	2	2	2	2
bleomycin	DB00290	2	2	3	3
alfacalcidol	DB01436	2	3	3	4
streptozocin	DB00428	2	2	2	2
lanreotide	DB06791	2	4	4	5
dexfenfluramine	DB01191	2	14	15	30
ubidecarenone	DB09270	2	2	2	2
lornoxicam	DB06725	2	2	2	2
medroxyprogesterone acetate	DB00603	2	3	3	3
prednisone	DB00635	2	3	3	3
cromoglicic acid	DB01003	2	2	2	2
daunorubicin	DB00694	2	2	11	13
trametinib	DB08911	2	5	5	5
dienestrol	DB00890	2	2	2	2
treprostinil	DB00374	2	7	7	9
nadolol	DB01203	2	2	2	3
clomifene	DB00882	2	17	17	26
morniflumate	DB09285	2	2	2	2
nimesulide	DB04743	2	7	7	9
methylergometrine	DB00353	2	9	9	12
donepezil	DB00843	2	7	7	8
snx-5422	DB06070	2	2	2	2
topotecan	DB01030	2	3	3	5
timolol	DB00373	2	3	3	4
doxycycline	DB00254	2	6	6	6
tixocortol	DB09091	2	2	2	2
oxaprozin	DB00991	2	3	3	3
diethylcarbamazine	DB00711	2	2	2	2
levetiracetam	DB01202	2	5	5	6
dexlansoprazole	DB05351	2	2	2	3
mycophenolate mofetil	DB00688	2	2	2	2
celiprolol	DB04846	2	3	3	5
moexipril	DB00691	2	2	2	2
fluocinonide	DB01047	2	3	3	4
tolfenamic acid	DB09216	2	5	5	5
choline magnesium trisalicylate	DB01401	2	2	2	2
zolmitriptan	DB00315	2	3	3	6
cilnidipine	DB09232	2	4	4	4
acebutolol	DB01193	2	3	3	3
pimavanserin	DB05316	2	3	3	3
befunolol	DB09013	2	2	2	2
dienogest	DB09123	2	3	3	3
deramciclane	DB06512	2	2	2	2
pyrimethamine	DB00205	2	11	11	15
licofelone	DB04725	2	2	2	3
thimerosal	DB11590	2	12	12	20
terfenadine	DB00342	2	18	18	24
mephenytoin	DB00532	2	8	10	14
mycophenolic acid	DB01024	2	3	6	6
lonidamine	DB06266	2	3	3	3
riboflavin	DB00140	2	2	7	10
atovaquone	DB01117	2	2	2	2
encainide	DB01228	1	8	8	11
acetyldigitoxin	DB00511	1	6	6	8
pantoprazole	DB00213	1	3	3	4
elacytarabine	DB05494	1	1	1	1
glimepiride	DB00222	1	3	3	6
vilanterol	DB09082	1	2	2	3
methylscopolamine bromide	DB00462	1	1	1	3
procarbazine	DB01168	1	2	2	2
lumacaftor	DB09280	1	1	1	1
fesoterodine	DB06702	1	1	1	6
ronacaleret	DB05255	1	1	1	2
lomustine	DB01206	1	1	1	1
darifenacin	DB00496	1	4	4	9
oxyphenonium	DB00219	1	1	1	2
cinacalcet	DB01012	1	1	1	2
gefitinib	DB00317	1	13	13	13
terbinafine	DB00857	1	4	4	5
phenacemide	DB01121	1	7	7	11
obeticholic acid	DB05990	1	1	1	1
bosentan	DB00559	1	1	1	2
fimasartan	DB09279	1	1	1	1
arimoclomol	DB05025	1	1	1	1
reserpine	DB00206	1	10	11	13
chlorthalidone	DB00310	1	10	10	14
hydroxyprogesterone caproate	DB06789	1	4	4	4
medrysone	DB00253	1	2	2	3
chlorzoxazone	DB00356	1	2	2	2
saxagliptin	DB06335	1	2	2	2
erythrityl tetranitrate	DB01613	1	1	1	2
talniflumate	DB09295	1	2	2	2
succinylcholine	DB00202	1	6	6	11
irofulven	DB05786	1	1	1	1
remikiren	DB00212	1	1	1	1
tandutinib	DB05465	1	6	6	7
pargyline	DB01626	1	1	1	2
ergocalciferol	DB00153	1	3	3	3
dyclonine	DB00645	1	7	7	10
flurandrenolide	DB00846	1	2	2	3
ofloxacin	DB01165	1	5	5	7
bimoclomol	DB06258	1	1	1	1
losartan	DB00678	1	9	11	11
naxifylline	DB06471	1	1	1	1
oxybuprocaine	DB00892	1	7	7	10
succinobucol	DB05399	1	1	1	1
afamelanotide	DB04931	1	1	1	1
azacitidine	DB00928	1	2	2	2
esmolol	DB00187	1	5	5	5
metyrosine	DB00765	1	1	1	1
cr665	DB05155	1	1	1	1
lobeline	DB05137	1	1	1	3
radotinib	DB12323	1	1	1	1
florbetaben (18f)	DB09148	1	1	1	1
fosphenytoin	DB01320	1	7	7	10
flutemetamol (18f)	DB09151	1	1	1	1
vinorelbine	DB00361	1	10	10	10
gemfibrozil	DB01241	1	3	3	6
alvespimycin	DB12442	1	2	2	2
medrogestone	DB09124	1	1	1	1
methocarbamol	DB00423	1	1	1	1
atrasentan	DB06199	1	1	1	2
isatoribine	DB04860	1	1	1	1
ethylmorphine	DB01466	1	1	2	2
polythiazide	DB01324	1	1	1	2
hexocyclium	DB06787	1	1	1	5
anileridine	DB00913	1	2	2	2
ranirestat	DB05327	1	1	1	1
darusentan	DB04883	1	1	1	2
thymectacin	DB05116	1	1	1	1
tezosentan	DB06558	1	1	1	2
paramethasone	DB01384	1	2	2	3
amrubicin	DB06263	1	1	1	1
cilastatin	DB01597	1	1	1	1
anisotropine methylbromide	DB00517	1	1	1	3
asimadoline	DB05104	1	1	1	1
angiotensin ii	DB11842	1	2	14	17
rosuvastatin	DB01098	1	2	2	3
benazepril	DB00542	1	1	1	1
norethisterone	DB00717	1	6	6	6
sodium stibogluconate	DB05630	1	2	2	2
ezatiostat	DB05460	1	1	1	1
efonidipine	DB09235	1	2	2	4
ximelagatran	DB04898	1	4	4	4
probenecid	DB01032	1	8	8	11
argatroban	DB00278	1	3	3	3
hyoscyamine	DB00424	1	1	1	5
clidinium	DB00771	1	1	1	3
pitavastatin	DB08860	1	1	1	1
guanethidine	DB01170	1	5	5	7
maraviroc	DB04835	1	1	1	1
lomefloxacin	DB00978	1	2	2	2
tetracaine	DB09085	1	11	11	16
lorcaserin	DB04871	1	4	4	4
econazole	DB01127	1	29	29	38
naloxegol	DB09049	1	1	1	1
lofexidine	DB04948	1	2	2	4
pinaverium	DB09090	1	1	1	1
rufinamide	DB06201	1	8	8	11
drostanolone	DB00858	1	1	1	1
flupirtine	DB06623	1	3	3	7
carbocisteine	DB04339	1	1	1	1
netupitant	DB09048	1	2	2	2
naftifine	DB00735	1	2	2	2
bethanidine	DB00217	1	6	6	9
rimexolone	DB00896	1	2	2	3
etelcalcetide	DB12865	1	1	1	1
dinoprost tromethamine	DB01160	1	1	1	2
floxuridine	DB00322	1	1	1	2
apixaban	DB06605	1	2	2	2
oxibendazole	DB04910	1	1	1	1
altropane	DB04947	1	1	1	1
levallorphan	DB00504	1	2	2	3
icotinib	DB11737	1	1	1	1
risedronate	DB00884	1	1	1	1
metamizole	DB04817	1	1	1	2
mafenide	DB06795	1	8	8	11
bretylium	DB01158	1	4	4	4
viloxazine	DB09185	1	3	3	3
beraprost	DB05229	1	3	3	3
hydroxyurea	DB01005	1	5	11	13
7-ethyl-10-hydroxycamptothecin	DB05482	1	2	2	2
diltiazem	DB00343	1	12	13	17
tioconazole	DB01007	1	2	2	2
otamixaban	DB06635	1	1	1	1
ly-517717	DB05713	1	1	1	1
zanapezil	DB04859	1	1	1	1
betrixaban	DB12364	1	1	1	1
itopride	DB04924	1	2	2	3
pralnacasan	DB04875	1	1	1	1
levobetaxolol	DB09351	1	2	2	2
lorazepam	DB00186	1	15	15	23
biperiden	DB00810	1	1	1	6
hexafluronium	DB00941	1	2	2	2
implitapide	DB04852	1	1	1	1
enalapril	DB00584	1	1	1	1
tegafur-uracil	DB09327	1	1	1	1
bambuterol	DB01408	1	3	3	4
methsuximide	DB05246	1	1	1	3
triamcinolone	DB00620	1	3	3	4
azilsartan medoxomil	DB08822	1	2	2	2
ethosuximide	DB00593	1	1	1	3
mitoxantrone	DB01204	1	11	11	13
clofibrate	DB00636	1	4	4	4
cilazapril	DB01340	1	2	2	2
pentostatin	DB00552	1	1	1	1
didanosine	DB00900	1	1	1	1
halcinonide	DB06786	1	2	2	2
diflorasone	DB00223	1	3	3	3
tranylcypromine	DB00752	1	6	6	7
indecainide	DB00192	1	7	7	10
trifluridine	DB00432	1	1	1	1
ifosfamide	DB01181	1	2	2	2
thonzonium	DB09552	1	1	1	1
bitolterol	DB00901	1	1	1	1
cholecalciferol	DB00169	1	2	2	3
acetohexamide	DB00414	1	3	3	5
flavoxate	DB01148	1	7	7	11
gallium maltolate	DB05420	1	1	1	1
moclobemide	DB01171	1	5	5	6
methyprylon	DB01107	1	13	13	18
diphenidol	DB01231	1	9	9	14
finafloxacin	DB09047	1	1	1	1
nitroprusside	DB00325	1	5	5	5
miglustat	DB00419	1	3	3	3
ecabet	DB05265	1	1	1	3
tranexamic acid	DB00302	1	2	2	3
loteprednol	DB00873	1	1	1	1
saprisartan	DB01347	1	1	1	1
ivermectin	DB00602	1	12	12	18
nicorandil	DB09220	1	2	2	3
lercanidipine	DB00528	1	4	4	4
t131	DB05490	1	1	1	1
pregabalin	DB00230	1	14	14	26
metixene	DB00340	1	2	2	6
enasidenib	DB13874	1	1	1	1
esculin	DB13155	1	1	1	1
cefazolin	DB01327	1	2	2	4
iodine	DB05382	1	2	3	6
cositecan	DB05806	1	1	1	1
fulvestrant	DB00947	1	4	4	4
idronoxil	DB04915	1	3	3	4
topiroxostat	DB01685	1	1	1	1
eslicarbazepine acetate	DB09119	1	8	8	11
proflavine	DB01123	1	1	1	1
terlipressin	DB02638	1	1	1	3
testosterone propionate	DB01420	1	2	2	2
troleandomycin	DB13179	1	1	1	1
cetilistat	DB06586	1	1	1	1
sonidegib	DB09143	1	1	1	1
pyridoxine	DB00165	1	1	24	24
teniposide	DB00444	1	2	2	2
ezetimibe	DB00973	1	1	1	3
nitisinone	DB00348	1	1	1	1
montelukast	DB00471	1	12	12	18
norfloxacin	DB01059	1	7	7	8
zucapsaicin	DB09120	1	1	1	1
bromopride	DB09018	1	2	2	2
phenprocoumon	DB00946	1	1	1	1
melperone	DB09224	1	8	8	13
sitagliptin	DB01261	1	1	1	1
olodaterol	DB09080	1	2	2	3
tesmilifene	DB04905	1	3	3	5
indacaterol	DB05039	1	6	6	6
chlorotrianisene	DB00269	1	2	2	3
loratadine	DB00455	1	4	4	5
metolazone	DB00524	1	2	2	3
cetrorelix	DB00050	1	1	1	2
oxandrolone	DB00621	1	2	2	2
mevastatin	DB06693	1	1	1	1
eliglustat	DB09039	1	1	1	2
ppi-2458	DB05864	1	1	1	1
bromfenac	DB00963	1	2	2	2
esomeprazole	DB00736	1	2	2	3
calcidiol	DB00146	1	1	6	9
oxiconazole	DB00239	1	16	16	22
ritonavir	DB00503	1	5	5	8
vorapaxar	DB09030	1	2	2	3
ambrisentan	DB06403	1	1	1	2
rivaroxaban	DB06228	1	1	1	1
azd-8330	DB06061	1	4	4	4
cortisone acetate	DB01380	1	2	2	3
clocortolone	DB00838	1	1	1	1
diphenylpyraline	DB01146	1	2	2	4
levofloxacin	DB01137	1	3	3	3
selexipag	DB11362	1	1	1	1
glycopyrronium	DB00986	1	2	2	4
moricizine	DB00680	1	7	7	10
brasofensine	DB04857	1	1	1	1
phenformin	DB00914	1	1	1	2
gpi-1485	DB05814	1	1	1	1
migalastat	DB05018	1	3	3	3
cp-122721	DB05421	1	1	1	1
vemurafenib	DB08881	1	3	3	3
riociguat	DB08931	1	5	5	5
nandrolone decanoate	DB08804	1	1	1	1
sitaxentan	DB06268	1	2	2	3
raltitrexed	DB00293	1	2	2	3
nateglinide	DB00731	1	4	4	6
org-34517	DB05423	1	1	1	1
glipizide	DB01067	1	4	4	6
practolol	DB01297	1	2	2	2
ulobetasol	DB00596	1	1	1	1
titanium dioxide	DB09536	1	1	1	1
difluprednate	DB06781	1	1	1	1
forasartan	DB01342	1	1	1	1
vilazodone	DB06684	1	8	8	13
reboxetine	DB00234	1	4	4	4
benzquinamide	DB00767	1	7	7	14
glycine betaine	DB06756	1	3	6	6
alclofenac	DB13167	1	2	2	2
mepenzolate	DB04843	1	1	1	5
aminolevulinic acid	DB00855	1	2	7	8
tibolone	DB09070	1	4	4	4
benzocaine	DB01086	1	1	1	1
frovatriptan	DB00998	1	2	2	3
aminoglutethimide	DB00357	1	1	1	2
desoximetasone	DB00547	1	3	3	3
ambenonium	DB01122	1	1	1	1
cerulenin	DB01034	1	1	2	2
guanadrel	DB00226	1	2	2	2
alfentanil	DB00802	1	1	1	1
belinostat	DB05015	1	12	12	12
miltefosine	DB09031	1	2	2	2
amyl nitrite	DB01612	1	1	1	1
desonide	DB01260	1	3	3	3
semaxanib	DB06436	1	6	6	6
ropivacaine	DB00296	1	7	7	10
esmirtazapine	DB06678	1	3	3	7
glycodiazine	DB01382	1	3	3	4
eflornithine	DB06243	1	1	1	1
ularitide	DB05034	1	1	1	1
streptomycin	DB01082	1	1	1	1
rubitecan	DB06159	1	1	1	1
aclidinium	DB08897	1	1	1	5
thiamylal	DB01154	1	11	11	18
cns-5161	DB05824	1	7	7	7
trospium	DB00209	1	1	1	4
oxcarbazepine	DB00776	1	8	8	11
lgd2941	DB05234	1	1	1	1
pilocarpine	DB01085	1	3	3	7
nandrolone phenpropionate	DB00984	1	2	2	2
voacamine	DB04877	1	1	1	1
bentiromide	DB00522	1	2	2	2
alizapride	DB01425	1	1	1	2
torcetrapib	DB06281	1	1	1	1
tropicamide	DB00809	1	1	1	5
bivalirudin	DB00006	1	1	1	1
parachlorophenol	DB13154	1	1	1	1
alclometasone	DB00240	1	2	2	3
almitrine	DB01430	1	1	1	1
tacrolimus	DB00864	1	5	5	5
disulfiram	DB00822	1	13	13	16
elacridar	DB04881	1	1	1	1
tezacitabine	DB06433	1	3	3	3
plecanatide	DB13170	1	2	2	2
edotecarin	DB04882	1	1	1	1
temocapril	DB08836	1	1	1	1
tetryzoline	DB06764	1	4	4	6
florbetapir (18f)	DB09149	1	1	1	1
phylloquinone	DB01022	1	1	6	7
uric acid	DB08844	1	1	12	13
neostigmine	DB01400	1	2	2	2
cycrimine	DB00942	1	1	1	1
oxypurinol	DB05262	1	1	2	2
nelarabine	DB01280	1	1	1	1
anatibant	DB05038	1	1	1	1
phenol	DB03255	1	8	16	17
zosuquidar	DB06191	1	1	1	1
ergonovine	DB01253	1	11	11	13
oxybutynin	DB01062	1	6	6	10
etomidate	DB00292	1	11	11	18
nitroglycerin	DB00727	1	6	7	7
edoxaban	DB09075	1	1	1	1
ibrutinib	DB09053	1	18	18	18
corticorelin ovine triflutate	DB09067	1	1	1	1
febuxostat	DB04854	1	2	2	2
linaclotide	DB08890	1	1	1	1
lacidipine	DB09236	1	6	6	6
mitiglinide	DB01252	1	2	2	4
pentolinium	DB01090	1	2	2	4
tarenflurbil	DB05289	1	7	7	7
lubiprostone	DB01046	1	2	2	2
ivacaftor	DB08820	1	1	1	1
prochlorperazine	DB00433	1	18	18	26
vildagliptin	DB04876	1	1	1	1
panobinostat	DB06603	1	11	11	11
pyrantel	DB11156	1	1	1	2
quinacrine	DB01103	1	11	11	20
glutethimide	DB01437	1	11	11	17
freselestat	DB03925	1	1	1	2
quinapril	DB00881	1	1	1	1
clorazepate	DB00628	1	14	14	20
methantheline	DB00940	1	1	1	6
trimetrexate	DB01157	1	1	1	2
sacubitril	DB09292	1	1	1	1
spirapril	DB01348	1	1	1	1
metformin	DB00331	1	50	54	61
clomethiazole	DB06470	1	11	11	16
nicergoline	DB00699	1	1	1	1
safinamide	DB06654	1	12	12	17
piperazine	DB00592	1	1	1	1
ranolazine	DB00243	1	4	4	5
decitabine	DB01262	1	2	2	2
ciclopirox	DB01188	1	1	1	1
ubenimex	DB03424	1	1	1	1
anagrelide	DB00261	1	3	3	3
quinestrol	DB04575	1	2	2	2
fluvastatin	DB01095	1	1	1	1
potassium nitrate	DB11090	1	1	1	1
clobetasol propionate	DB01013	1	1	1	1
rizatriptan	DB00953	1	6	6	9
indigotindisulfonic acid	DB11577	1	1	1	1
inosine	DB04335	1	2	14	24
fingolimod	DB08868	1	2	2	6
cyclopentolate	DB00979	1	4	4	7
levamisole	DB00848	1	2	2	3
lisinopril	DB00722	1	2	2	2
amodiaquine	DB00613	1	2	2	2
magnesium carbonate	DB09481	1	1	1	1
neratinib	DB11828	1	4	4	4
armodafinil	DB06413	1	3	3	3
manidipine	DB09238	1	3	3	4
umeclidinium	DB09076	1	1	1	5
cobimetinib	DB05239	1	4	4	4
acalabrutinib	DB11703	1	14	14	14
lixisenatide	DB09265	1	1	1	1
dexanabinol	DB06444	1	6	6	6
digitoxin	DB01396	1	7	7	9
ospemifene	DB04938	1	2	2	2
16-bromoepiandrosterone	DB05107	1	1	1	1
bicalutamide	DB01128	1	1	1	1
beclomethasone dipropionate	DB00394	1	2	2	3
iron saccharate	DB09146	1	1	1	1
banoxantrone	DB04975	1	1	1	1
ibandronate	DB00710	1	1	1	1
etoricoxib	DB01628	1	4	4	4
alogliptin	DB06203	1	1	1	1
rabeprazole	DB01129	1	6	6	9
amifostine	DB01143	1	2	2	3
forodesine	DB06185	1	1	1	2
azithromycin	DB00207	1	4	4	6
phenindione	DB00498	1	2	2	2
cediranib	DB04849	1	8	8	8
aliskiren	DB09026	1	2	2	2
rilpivirine	DB08864	1	1	1	1
zileuton	DB00744	1	1	1	1
chromic chloride	DB09129	1	3	3	3
cyclizine	DB01176	1	10	10	16
carbidopa	DB00190	1	3	3	3
tolbutamide	DB01124	1	1	2	4
dabigatran etexilate	DB06695	1	7	7	7
eplerenone	DB00700	1	2	2	2
repaglinide	DB00912	1	3	3	5
tiomolibdate ion	DB05088	1	1	1	1
czen 002	DB05479	1	1	1	1
brimonidine	DB00484	1	5	5	7
tegafur	DB09256	1	1	1	1
zanamivir	DB00558	1	1	1	1
icatibant	DB06196	1	2	2	3
benzonatate	DB00868	1	3	3	3
mepivacaine	DB00961	1	7	7	10
gadopentetate dimeglumine	DB00789	1	1	1	1
cilostazol	DB01166	1	2	2	2
ketotifen	DB00920	1	11	11	18
clarithromycin	DB01211	1	1	1	3
methohexital	DB00474	1	14	14	21
lesopitron	DB04970	1	1	1	1
tecadenoson	DB04954	1	1	1	1
tiotropium	DB01409	1	1	1	5
alverine	DB01616	1	2	2	2
moxifloxacin	DB00218	1	2	2	2
zenarestat	DB02132	1	2	2	3
dactinomycin	DB00970	1	1	1	1
alectinib	DB11363	1	4	4	4
teriflunomide	DB08880	1	1	1	1
c31g	DB05398	1	1	1	1
isotretinoin	DB00982	1	4	4	5
isometheptene	DB06706	1	1	1	2
budesonide	DB01222	1	2	2	2
roxithromycin	DB00778	1	1	1	2
goserelin	DB00014	1	2	2	3
paclitaxel docosahexaenoic acid	DB05297	1	1	1	1
ljp 1082	DB05446	1	1	1	1
pirenzepine	DB00670	1	1	1	5
enoximone	DB04880	1	5	5	5
fleroxacin	DB04576	1	2	2	2
apadenoson	DB05009	1	2	2	3
fosinopril	DB00492	1	1	1	1
voglibose	DB04878	1	2	2	4
tipiracil	DB09343	1	1	1	1
capecitabine	DB01101	1	2	2	2
tetraethylammonium	DB08837	1	1	6	10
ipratropium bromide	DB00332	1	1	1	5
tetrabenazine	DB04844	1	5	5	9
butenafine	DB01091	1	6	6	7
deferoxamine	DB00746	1	1	1	1
isocarboxazid	DB01247	1	1	1	2
arformoterol	DB01274	1	3	3	5
olmutinib	DB13164	1	1	1	1
ceritinib	DB09063	1	25	25	25
venetoclax	DB11581	1	4	4	4
everolimus	DB01590	1	4	4	4
carmustine	DB00262	1	1	1	1
pamidronate	DB00282	1	2	2	2
anisindione	DB01125	1	2	2	2
prednicarbate	DB01130	1	3	3	3
nitroxoline	DB01422	1	2	2	2
phenacetin	DB03783	1	1	1	4
astaxanthin	DB06543	1	1	2	2
fenoxaprop-ethyl	DB05252	1	2	2	2
odanacatib	DB06670	1	3	3	4
prilocaine	DB00750	1	9	9	12
ridogrel	DB01207	1	1	1	2
lomitapide	DB08827	1	4	4	4
firocoxib	DB09217	1	1	1	1
dofetilide	DB00204	1	3	3	5
vismodegib	DB08828	1	1	1	1
levobupivacaine	DB01002	1	5	5	9
hydrocortamate	DB00769	1	3	3	3
levosalbutamol	DB13139	1	1	1	1
zidovudine	DB00495	1	3	3	3
indapamide	DB00808	1	9	9	14
flucytosine	DB01099	1	2	2	2
cerivastatin	DB00439	1	1	1	1
sulfamethoxazole	DB01015	1	2	2	2
selegiline	DB01037	1	4	4	6
tocainide	DB01056	1	7	7	10
guanfacine	DB01018	1	7	7	9
abiraterone	DB05812	1	4	4	7
phenoxymethylpenicillin	DB00417	1	1	1	1
mb-07803	DB05053	1	1	1	1
eritoran	DB04933	1	2	2	2
pirfenidone	DB04951	1	6	6	6
rupatadine	DB11614	1	1	1	2
candesartan cilexetil	DB00796	1	6	6	8
tolcapone	DB00323	1	1	1	1
ajmaline	DB01426	1	1	1	2
dicyclomine	DB00804	1	10	10	15
solifenacin	DB01591	1	1	1	5
methadyl acetate	DB01433	1	2	2	2
ixabepilone	DB04845	1	15	15	15
betamethasone	DB00443	1	2	2	2
abacavir	DB01048	1	2	2	2
idarubicin	DB01177	1	1	1	1
sr 140333	DB05790	1	1	1	1
tideglusib	DB12129	1	2	2	2
thiocolchicoside	DB11582	1	6	6	8
mestranol	DB01357	1	3	3	4
tipifarnib	DB04960	1	2	2	2
torasemide	DB00214	1	1	1	1
paricalcitol	DB00910	1	1	1	1
procyclidine	DB00387	1	9	9	13
perampanel	DB08883	1	4	4	4
camptothecin	DB04690	1	1	9	9
chlormezanone	DB01178	1	2	2	2
echothiophate	DB01057	1	2	2	2
digoxin	DB00390	1	7	8	11
cep-1347	DB05403	1	1	1	1
macitentan	DB08932	1	1	1	2
daglutril	DB05796	1	1	1	1
tezacaftor	DB11712	1	1	1	1
desoxycorticosterone pivalate	DB01134	1	1	1	1
resiniferatoxin	DB06515	1	1	1	1
cyclophosphamide	DB00531	1	4	4	6
cyclobenzaprine	DB00924	1	7	7	12
phenazopyridine	DB01438	1	7	7	10
binodenoson	DB04853	1	3	3	4
formebolone	DB01569	1	1	1	1
fencamfamine	DB01463	1	1	1	1
sparfloxacin	DB01208	1	4	4	4
opc-51803	DB05838	1	1	1	2
procaterol	DB01366	1	1	1	1
arundic acid	DB05343	1	1	1	1
eltrombopag	DB06210	1	4	4	4
canertinib	DB05424	1	3	3	3
apatorsen	DB06094	1	1	1	1
neramexane	DB04926	1	7	7	9
ethanolamine oleate	DB06689	1	1	1	1
