Disease	Disease name	# genes in disgenet and network	# genes in network	# genes in total
C4025751	abnormality of the pancreas	2	2	2
C1843463	ichthyosis, cyclic, with epidermolytic hyperkeratosis	2	2	2
C1959620	dihydropyrimidine dehydrogenase deficiency	2	2	2
C4021435	short middle phalanx of the 2nd finger	2	2	2
C1851415	scapular exostoses	2	2	2
C4024667	congenital craniofacial dysostosis	2	2	2
C2931082	familial apoceruloplasmin deficiency	2	2	2
C0270855	early myoclonic encephalopathy	2	2	2
C1869117	paroxysmal nonkinesigenic dyskinesia	2	2	2
C4023170	abnormality of oral mucosa	2	2	3
C4023175	submucous cleft soft palate	2	2	2
C0037052	sick sinus syndrome	2	2	4
C1865871	hemangioma, capillary infantile	2	2	3
C3714534	dowling-degos disease	2	2	2
C0175691	dubowitz syndrome	2	2	2
C0206657	alveolar soft part sarcoma	2	2	2
C4025699	abnormality of the stomach	2	2	2
C4025698	abnormality of the peritoneum	2	2	2
C0004779	basal cell nevus syndrome	2	2	3
C4021335	short distal phalanx of hallux	2	2	2
C0339477	lipidemia retinalis	2	2	3
C4073145	hyperkeratosis pilaris	2	2	2
C0240412	muscle hematoma	2	2	2
C0546968	fistula of branchial cleft	2	2	2
C3665425	hemoglobin m disease	2	2	2
C0270254	hydrops of placenta	2	2	2
C1849953	square pelvis	2	2	2
C2677180	congenital microcephaly	2	2	2
C0221054	welander distal myopathy	2	2	2
C1834671	facioscapulohumeral muscular dystrophy 1b	2	2	2
C0266267	congenital hypoplasia of pancreas	2	2	2
C1257877	pheochromocytoma, extra-adrenal	2	2	2
C1848030	hypotonia-cystinuria syndrome	2	2	4
C4025777	autosomal dominant contiguous gene syndrome	2	2	2
C2750325	oculootodental syndrome	2	2	2
C0236048	polyposis, gastric	2	2	2
C0206182	lymphomatoid papulosis	2	2	2
C0221215	common atrioventricular canal	2	2	2
C0149910	intermittent joint effusion	2	2	2
C3887709	optic neuropathy	2	2	2
C0265695	congenital fusion of ribs	2	2	3
C0300948	caudal regression syndrome	2	2	2
C4225427	singleton-merten syndrome 1	2	2	2
C0857501	acute schizophrenia	2	2	3
C0027719	nephrosclerosis	2	2	3
C1608393	megacystis microcolon intestinal hypoperistalsis syndrome	2	2	2
C1708604	keratocystic odontogenic tumor	2	2	3
C0271288	corneal guttata	2	2	2
C0265269	lacrimoauriculodentodigital syndrome	2	2	3
C1848599	vacterl association with hydrocephalus	2	2	2
C0266537	congenital lamellar cataract	2	2	2
C0018054	gonadal dysgenesis, 46,xy	2	2	3
C1836573	griscelli syndrome, type 3	2	2	2
C1850055	peho syndrome	2	2	2
C0029455	osteopoikilosis (disorder)	2	2	2
C4024930	diffuse demyelination of the cerebral white matter	2	2	2
C0744321	gastrointestinal arteriovenous malformation	2	2	2
C0795806	chromosome 3, monosomy 3p	2	2	3
C0270726	alexander disease	2	2	2
C1504382	pulmonary artery wall hypertrophy	2	2	2
C1862151	brachydactyly, type a1 (disorder)	2	2	3
C1442837	myocardial necrosis	2	2	2
C1318558	congenital melanocytic nevus	2	2	2
C4021809	abnormality of the inner ear	2	2	2
C1542327	fetus or newborn affected by alcohol transmitted via placenta or breast milk	2	2	2
C4021739	abnormality of the acetabulum	2	2	2
C0265205	robinow syndrome	2	2	3
C0265609	accessory carpal bone	2	2	2
C1704429	hypoalphalipoproteinemia, familial	2	2	2
C0025299	meningocele	2	2	3
C1846385	focal cortical dysplasia of taylor	2	2	2
C4025738	abnormality of eosinophils	2	2	2
C4025739	acroosteolysis of distal phalanges (feet)	2	2	2
C4025733	mesangial abnormality	2	2	2
C4025737	osteomyelitis or necrosis, distal, due to sensory neuropathy (feet)	2	2	2
C0272052	rh deficiency syndrome	2	2	3
C0393818	congenital hypomyelinating neuropathy	2	2	2
C1306856	megaloblastic anemia due to inborn errors of metabolism	2	2	2
C1837822	burn-mckeown syndrome	2	2	2
C0031575	phocomelia	2	2	2
C0431369	dysgenesis of corpus callosum	2	2	2
C1879677	alcohol toxicity	2	2	2
C0349218	recurrent depressive disorder, unspecified	2	2	2
C3278481	microcephaly and chorioretinopathy, autosomal recessive, 1	2	2	2
C0268579	propionic acidemia	2	2	2
C0042961	intestinal volvulus	2	2	2
C1855496	contiguous gene syndrome	2	2	2
C4021756	thickened superior cerebellar peduncle	2	2	2
C0031019	perianal abscess	2	2	3
C0265220	pallister-hall syndrome	2	2	2
C0265224	freeman-sheldon syndrome	2	2	2
C0265881	congenital hypoplasia of aortic arch	2	2	2
C0035934	rubinstein-taybi syndrome	2	2	2
C1321551	shprintzen-goldberg syndrome	2	2	2
C0541912	duodenal cancer	2	2	2
C1302999	ankyloblepharon filiforme adnatum	2	2	3
C1302995	congenital fibrosis of the extraocular muscles	2	2	3
C1860488	internal carotid artery abnormalities	2	2	2
C0009178	cocaine withdrawal	2	2	2
C0043207	wolfram syndrome	2	2	2
C1096086	deformity of lower limb	2	2	3
C0342388	adrenocorticotropic hormone (acth) deficiency (disorder)	2	2	4
C0027127	myotonia congenita	2	2	2
C0342474	lipoid congenital adrenal hyperplasia	2	2	2
C0026998	acute myeloid leukemia, m1	2	2	2
C0006105	brain abscess	2	2	2
C1621920	intermediate maple syrup urine disease	2	2	4
C4023027	abnormality of cells of the lymphoid lineage	2	2	2
C1857355	leigh syndrome , french canadian type	2	2	2
C0030246	pustulosis of palms and soles	2	2	2
C1398522	cleft palate and bilateral cleft lip	2	2	2
C4025077	slender metacarpals	2	2	2
C3178803	social anhedonia	2	2	2
C3806330	osteomyelitis due to immunodeficiency	2	2	3
C2939175	meconium ileus	2	2	2
C4021772	bifid distal phalanx of toe	2	2	3
C4021775	high-frequency sensorineural hearing impairment	2	2	2
C1848534	vitamin k-dependent clotting factors, combined deficiency of, 1	2	2	2
C0023003	langer-giedion syndrome	2	2	2
C0595989	carcinoma of larynx	2	2	2
C0264955	idiopathic arterial calcification of infancy	2	2	2
C3887667	retrocollis	2	2	2
C0037773	spastic paraplegia, hereditary	2	2	5
C0085131	gangliosidosis gm1	2	2	2
C1833308	neuronopathy, distal hereditary motor, type v	2	2	2
C0014714	ergotism	2	2	2
C0549463	x-linked lymphoproliferative disorder	2	2	2
C0205713	roussy-levy syndrome (disorder)	2	2	2
C0011998	diastema of teeth	2	2	3
C1852438	cataract, coppock-like	2	2	2
C0024205	lymphadenitis	2	2	3
C0278804	adenocarcinoma of duodenum	2	2	2
C4025899	abnormality of male internal genitalia	2	2	3
C1096654	cardiac fibroma	2	2	3
C0236642	pick disease of the brain	2	2	2
C4021578	chronic axonal neuropathy	2	2	2
C1856186	deafness enamel hypoplasia nail defects	2	2	2
C0035220	respiratory distress syndrome, newborn	2	2	3
C0542035	erythroid hypoplasia	2	2	2
C0265594	congenital absence of hand	2	2	3
C1857586	conotruncal heart malformations (disorder)	2	2	6
C0154822	serous retinal detachment	2	2	2
C1854465	tuberous sclerosis 1 (disorder)	2	2	3
C3553016	peripheral retinal atrophy	2	2	2
C4025796	abnormality of the fingertips	2	2	2
C0311298	propionic acidemia, type ii	2	2	2
C0410192	muscular dystrophy, scapulohumeral	2	2	2
C0796037	martsolf syndrome	2	2	2
C0014733	erysipelas	2	2	2
C0398349	distal intestinal obstruction syndrome	2	2	2
C0948060	iridocele	2	2	3
C1847572	seckel syndrome 2	2	2	2
C2931268	scapuloperoneal myopathy	2	2	2
C1847759	muscular dystrophy, congenital, 1c	2	2	6
C0566602	primary sclerosing cholangitis	2	2	3
C1840402	hyperparathyroidism 1	2	2	2
C3489789	cholestasis, progressive familial intrahepatic, 2	2	2	2
C0473586	michelin tire baby syndrome	2	2	2
C4072884	ciliary body coloboma	2	2	2
C0023211	left bundle-branch block	2	2	2
C1846242	alport syndrome, mental retardation, midface hypoplasia, and elliptocytosis	2	2	3
C0242852	proliferative vitreoretinopathy	2	2	2
C0343068	familial cold urticaria	2	2	2
C0311338	fundus albipunctatus	2	2	4
C4020791	absent or rudimentary fallopian tubes	2	2	2
C1859727	arterial calcification of infancy	2	2	2
C1859722	arthrogryposis renal dysfunction cholestasis syndrome	2	2	2
C2674723	ras-associated autoimmune leukoproliferative disorder	2	2	2
C0432321	epidermolysis bullosa, pretibial	2	2	2
C0242528	azotemia	2	2	3
C0079474	hallopeau-siemens disease	2	2	2
C0270680	posterior fossa compression syndrome	2	2	2
C0265642	talipes equinovalgus	2	2	4
C0581391	chronic depression	2	2	2
C0392784	dermatofibrosarcoma protuberans	2	2	2
C4024536	bracket epiphysis of the middle phalanx of the 5th finger	2	2	3
C1832587	polyposis syndrome, hereditary mixed, 1	2	2	2
C3150914	mitochondrial dna depletion syndrome 4b (mngie type)	2	2	3
C1835171	hypomagnesemia 2, renal	2	2	4
C1389102	atrophic spinal cord	2	2	2
C1865926	infantile convulsions and paroxysmal choreoathetosis, familial (disorder)	2	2	2
C0473219	renal hypouricemia	2	2	2
C0520557	arteriovenous malformation of liver	2	2	2
C0341306	microvillus inclusion disease	2	2	2
C1842036	giant pigmented hairy nevus	2	2	2
C4025320	craniofacial asymmetry	2	2	3
C0022603	seborrheic keratosis	2	2	2
C1855418	thoracolumbar gibbus deformity	2	2	3
C0016667	fragile x syndrome	2	2	2
C0432122	interfrontal craniofaciosynostosis	2	2	2
C1696466	hepatic calcification	2	2	2
C0856761	budd-chiari syndrome	2	2	2
C0342573	pituitary dwarfism i	2	2	2
C0699885	carcinoma of bladder	2	2	2
C0030326	panniculitis	2	2	2
C0024454	maffucci syndrome	2	2	2
C1832702	brachydactyly, type a2	2	2	3
C1405854	retinitis punctata albescens (disorder)	2	2	4
C2673536	combined cellular and humoral immune defects with granulomas	2	2	2
C0334287	fibrolamellar hepatocellular carcinoma	2	2	2
C1609433	congenital absence of kidneys syndrome	2	2	4
C0021828	intestinal atresia	2	2	2
C1856934	epidermolysis bullosa with pyloric atresia	2	2	2
C0746495	recurrent meningitis	2	2	2
C4021695	hypoplastic radial head	2	2	2
C3665704	congenital reticular ichthyosiform erythroderma	2	2	2
C1861556	cirrhosis, familial	2	2	2
C0154143	toxic multinodular goiter	2	2	2
C0154141	thyrotoxicosis with toxic single thyroid nodule	2	2	2
C1848947	cold-induced sweating syndrome 1	2	2	3
C0265325	turcot syndrome (disorder)	2	2	2
C0266677	synotus	2	2	2
C0016052	fibromuscular dysplasia	2	2	2
C0270496	schizoaffective disorder, bipolar type	2	2	2
C3152055	d-2-hydroxyglutaric aciduria 1	2	2	2
C4024166	crumpled ear	2	2	2
C0339543	epiretinal membrane	2	2	2
C3553720	cfhr5 deficiency	2	2	2
C2931416	fara chlupackova syndrome	2	2	2
C0265681	supernumerary vertebra	2	2	2
C1112601	hypertonic dehydration	2	2	3
C1292772	leukemia, myeloid, chronic, atypical, bcr-abl negative	2	2	2
C1834728	malignant genitourinary tract tumors	2	2	2
C0281508	desmoplastic small round cell tumor	2	2	2
C1848336	dent disease 1	2	2	2
C0162672	merrf syndrome	2	2	2
C4024283	triangular shaped middle phalanx of the 2nd finger	2	2	3
C4025628	abnormal enchondral ossification	2	2	2
C2607914	allergic rhinitis (disorder)	2	2	3
C4023734	sutural cataract	2	2	2
C0423319	atrophic iris	2	2	2
C4025810	abnormal palmar dermatoglyphics	2	2	2
C4025362	abnormality of the gastric mucosa	2	2	2
C1956097	wolf-hirschhorn syndrome	2	2	2
C4021243	abnormality of thalamus morphology	2	2	2
C0162530	porphyria, erythropoietic	2	2	2
C0741296	ostium primum atrial septal defect	2	2	3
C0302280	adrenogenital syndrome	2	2	5
C0220766	congenital hypoplasia of adrenal gland	2	2	2
C0016952	galactosemias	2	2	2
C0014583	episcleritis	2	2	2
C1857276	trichohepatoenteric syndrome	2	2	2
C1859305	cerebellar ataxia and hypogonadotropic hypogonadism	2	2	2
C4024809	chorioretinal dysplasia	2	2	2
C4024552	triangular shaped middle phalanx of the 5th finger	2	2	3
C0268118	xanthinuria, type i	2	2	2
C0586323	alcohol withdrawal seizures	2	2	2
C4023401	abnormality of hair density	2	2	2
C1706004	anhydrotic ectodermal dysplasias	2	2	2
C1859158	laryngeal calcification	2	2	2
C1857252	2,4-dienoyl-coa reductase deficiency	2	2	2
C0029899	otosclerosis	2	2	2
C0035854	rosacea	2	2	3
C1839884	leiomyomatosis, esophageal and vulval, with nephropathy	2	2	2
C1832976	cone-rod dystrophy 5	2	2	2
C4025831	abnormal peripheral nervous system morphology	2	2	2
C4025835	abnormality of the nasolacrimal system	2	2	2
C4025836	abnormality of the choroid	2	2	6
C0010324	crigler najjar syndrome, type 1	2	2	2
C0342883	cholesteryl ester transfer protein deficiency	2	2	2
C0033847	pseudoxanthoma elasticum	2	2	4
C0428851	dilatation of pulmonary artery, unspecified	2	2	2
C0268117	gout, hprt-related	2	2	2
C1855789	self-healing collodion baby	2	2	3
C0302809	fulminant hepatitis	2	2	2
C2931196	craniofacial dysostosis type 1	2	2	2
C4024716	secondary growth hormone deficiency	2	2	2
C0752210	dyskinesias, paroxysmal	2	2	2
C0008373	cholesteatoma	2	2	2
C4021637	abnormality of the nares	2	2	2
C4021631	abnormality of the tracheobronchial system	2	2	2
C2931574	chromosome 5, monosomy 5q35	2	2	2
C3807327	advanced sleep phase syndrome, familial, 1	2	2	3
C0018922	hemangiopericytoma	2	2	2
C0432284	infantile myofibromatosis	2	2	2
C0268347	ehlers-danlos syndrome, type viii	2	2	2
C0268345	ehlers-danlos syndrome, arthrochalasia type	2	2	2
C0271742	glucocorticoid deficiency with achalasia	2	2	2
C0342273	transient neonatal diabetes mellitus	2	2	4
C1853926	nonaka myopathy	2	2	2
C4025853	nasal mucosa telangiectasia	2	2	2
C4025278	stress/infection-induced lactic acidosis	2	2	2
C0268285	adrenal hyperplasia, congenital, type 5	2	2	2
C2931035	pulmonary alveolar proteinosis, congenital	2	2	2
C4024848	absent pigmentation of the ventral chest	2	2	2
C0221252	eruptive xanthoma	2	2	3
C0272302	gray platelet syndrome	2	2	2
C0859976	idiopathic achalasia of esophagus	2	2	3
C0334590	anaplastic oligodendroglioma	2	2	2
C1850100	parkinson disease 15, autosomal recessive (disorder)	2	2	2
C0432261	osteopetrosis - intermediate type	2	2	2
C1865143	branchiootic syndrome 1	2	2	2
C3150607	chromosome 17q23.1-q23.2 deletion syndrome	2	2	2
C0020479	hyperlipoproteinemia type iii	2	2	2
C0242666	protein s deficiency	2	2	2
C0339277	corneal dystrophy, juvenile epithelial of meesmann	2	2	3
C3887892	aortic valve disease 1	2	2	2
C0221002	hyperparathyroidism, primary	2	2	2
C0040962	tricuspid valve prolapse	2	2	2
C0040961	tricuspid valve insufficiency	2	2	4
C0431693	renal cysts and diabetes syndrome	2	2	2
C4025878	tongue telangiectasia	2	2	2
C0015503	factor vii deficiency	2	2	2
C0442880	periungual fibroma	2	2	2
C0268743	membranoproliferative glomerulonephritis, type ii	2	2	2
C2931059	marie unna congenital hypotrichosis	2	2	2
C0432098	cleft soft palate	2	2	2
C0266003	subungual fibroma	2	2	2
C4025401	irregular carpal bones	2	2	2
C4024318	bracket epiphysis of the middle phalanx of the 2nd finger	2	2	3
C1404521	limb-girdle myopathy	2	2	2
C4274354	severe early childhood onset retinal dystrophy	2	2	4
C4021365	partial duplication of the distal phalanx of the 2nd finger	2	2	2
C0032290	aspiration pneumonia	2	2	2
C0017922	glycogen storage disease type iii	2	2	2
C0017924	glycogen storage disease type v	2	2	2
C0206634	liposarcoma, myxoid	2	2	2
C1865343	ossification of the posterior longitudinal ligament of spine	2	2	2
C0034960	refsum disease	2	2	2
C1850127	osteopetrosis, autosomal recessive 1	2	2	2
C0265293	frontometaphyseal dysplasia	2	2	2
C0265292	schwartz-lelek syndrome	2	2	2
C0268070	hypocupremia	2	2	2
C1864690	microphthalmia, syndromic 5	2	2	3
C4024678	punctate vertebral calcifications	2	2	2
C4024679	onychogryposis of toenails	2	2	2
C0265740	arrhinia	2	2	2
C0221060	mobius syndrome	2	2	2
C1301362	lymphoma, primary cutaneous anaplastic large cell	2	2	2
C0452147	hypospadias, penoscrotal	2	2	2
C0452148	hypospadias, perineal	2	2	4
C0149951	ovarian fibromata	2	2	3
C0008525	choroideremia	2	2	5
C4025234	duplication of internal organs	2	2	2
C0238441	subglottic stenosis	2	2	2
C4048801	scalp defect	2	2	3
C4020772	hypoplastic palate	2	2	3
C1855722	iris coloboma with ptosis, hypertelorism, and mental retardation	2	2	2
C2936862	bardet-biedl syndrome 1 (disorder)	2	2	3
C0796013	zimmerman laband syndrome	2	2	2
C0796016	microphthalmia, syndromic 1	2	2	2
C1838568	sacral defect and anterior sacral meningocele	2	2	2
C2677349	epidermolysis bullosa simplex with pyloric atresia	2	2	2
C4025424	abnormality of ulnar metaphysis	2	2	2
C0024507	majewski syndrome	2	2	2
C0432226	metaphyseal anadysplasia	2	2	2
C0031269	peutz-jeghers syndrome	2	2	2
C0406702	ectodermal dysplasia, hypohidrotic, autosomal recessive	2	2	3
C1832466	capos syndrome	2	2	2
C4025212	autonomic bladder dysfunction	2	2	2
C3806634	deafness, dystonia, and cerebral hypomyelination	2	2	2
C0238462	medullary carcinoma of thyroid	2	2	2
C0005426	biliary tract neoplasm	2	2	2
C0018023	nodular goiter	2	2	3
C1840235	solitary median maxillary central incisor	2	2	3
C0268193	nadh cytochrome b5 reductase deficiency	2	2	2
C1869122	ehlers-danlos syndrome, progeroid form	2	2	2
C4023169	moyamoya phenomenon	2	2	2
C1865270	bartter syndrome, type 4a	2	2	3
C0751576	partial paralysis (paresis) vocal cords	2	2	2
C0008487	chordoma	2	2	3
C4021581	distal upper limb amyotrophy	2	2	2
C2981140	glaucoma of childhood	2	2	2
C1834846	progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant, 1	2	2	4
C0265251	oto-palato-digital syndrome type 1	2	2	2
C0268495	oculocutaneous albinism type 2	2	2	2
C2931132	crigler najjar syndrome, type 2	2	2	2
C0796205	spinocerebellar ataxia, x-linked 1	2	2	2
C0796208	mental retardation, x-linked 3	2	2	2
C4018871	abnormality of the respiratory system	2	2	4
C0406585	lethal tight skin contracture syndrome (disorder)	2	2	2
C0155120	corneal dystrophy, band-shaped	2	2	2
C4025760	primary hypercorticolism	2	2	3
C0751037	cockayne syndrome, type iii	2	2	2
C0022716	menkes kinky hair syndrome	2	2	2
C1527366	salaam seizures	2	2	2
C4025111	radial deviation of thumb terminal phalanx	2	2	2
C1837251	basal ganglia cysts	2	2	2
C0342422	pituitary gland enlarged	2	2	2
C0343055	generalized pustular psoriasis	2	2	2
C3151380	schizophrenia 15	2	2	2
C0001957	alcohol withdrawal delirium	2	2	2
C1848201	subcortical band heterotopia	2	2	2
C1960546	myxoma of heart	2	2	2
C1851585	myeloproliferative disorder, chronic, with eosinophilia	2	2	2
C0031046	pericarditis	2	2	3
C1845408	contiguous abcd1-dxs1375e deletion syndrome	2	2	2
C3714976	activated pi3k-delta syndrome	2	2	2
C4024613	progressive distal muscular atrophy	2	2	2
C1832394	deafness, autosomal recessive 12	2	2	2
C1832390	van maldergem wetzburger verloes syndrome	2	2	2
C0259771	steatocystoma multiplex	2	2	2
C0393576	chorea acanthocytosis syndrome	2	2	2
C2936791	antley-bixler syndrome, autosomal dominant	2	2	2
C0039841	thiamine deficiency	2	2	4
C1842180	capillary malformation-arteriovenous malformation (disorder)	2	2	2
C0152458	leukocoria	2	2	2
C4020863	blood platelet disease	2	2	2
C4020866	equinovalgus deformity	2	2	4
C0152109	juvenile spinal muscular atrophy	2	2	2
C0685838	gonadal dysgenesis xx type deafness	2	2	4
C0393807	hereditary motor and sensory neuropathy with optic atrophy (disorder)	2	2	2
C0796070	microphthalmia, syndromic 7	2	2	3
C0036351	residual schizophrenia	2	2	2
C4025040	abnormality of the femoral metaphysis	2	2	2
C4025043	abnormality of the pancreatic islet cells	2	2	4
C4021814	accessory oral frenulum	2	2	3
C4021812	abnormality of the head	2	2	2
C0339182	ankyloblepharon	2	2	3
C0030779	pelger-huet anomaly	2	2	2
C2749757	bronchiectasis with or without elevated sweat chloride 1	2	2	2
C0265219	miller dieker syndrome	2	2	2
C0265218	neu-laxova syndrome	2	2	2
C1838114	generalized limb muscle atrophy	2	2	2
C3809719	erythroderma, congenital, with palmoplantar keratoderma, hypotrichosis, and hyper-ige	2	2	2
C0011880	diabetic ketoacidosis	2	2	2
C3463992	epileptic encephalopathy, early infantile, 1	2	2	3
C0751783	lafora disease	2	2	2
C3161174	hemoglobin h disease	2	2	2
C1290708	osteomyelitis of mandible	2	2	2
C0015519	factor x deficiency	2	2	2
C0220988	xanthinuria	2	2	2
C0028866	oculomotor nerve paralysis	2	2	2
C0085261	proteus syndrome	2	2	2
C0006131	branchioma	2	2	2
C1321489	torre-muir syndrome	2	2	2
C0268600	3-methylcrotonyl coa carboxylase 1 deficiency	2	2	2
C0023464	acute biphenotypic leukemia	2	2	2
C0023931	lobstein's disease	2	2	2
C0431376	cobblestone lissencephaly	2	2	6
C1332965	congenital mesoblastic nephroma	2	2	2
C1968602	surfactant metabolism dysfunction, pulmonary, 1	2	2	3
C2931482	neurofibromatosis-noonan syndrome	2	2	2
C4021528	pelvic girdle amyotrophy	2	2	2
C4021743	abnormality of the patella	2	2	2
C0345394	hypoplasia of spine	2	2	2
C1838103	mitochondrial myopathy and sideroblastic anemia	2	2	2
C0221406	pituitary-dependent cushing's disease	2	2	3
C4024924	cerebral artery atherosclerosis	2	2	2
C0751279	metachromatic leukodystrophy, adult-type (disorder)	2	2	2
C1853147	macular degeneration, age-related, 4 (disorder)	2	2	2
C0751276	metachromatic leukodystrophy, juvenile type	2	2	2
C0393538	muscular atrophy, spinal, type ii	2	2	2
C1852093	maturity-onset diabetes of the young, type 1	2	2	2
C0795996	striatonigral degeneration, infantile (disorder)	2	2	2
C0795998	jackson-weiss syndrome	2	2	2
C2940786	thyroid hormone resistance syndrome	2	2	3
C4024215	aplasia of the parotid gland	2	2	3
C4024213	absent pectoralis major muscle	2	2	2
C3891828	pancreatic agenesis 1	2	2	2
C0238399	pulmonary lymphangiomyomatosis	2	2	2
C4020825	irregular capital femoral epiphysis	2	2	2
C0029423	cartilaginous exostosis	2	2	2
C0029421	osteochondritis dissecans	2	2	2
C1865951	ectodermal dysplasia, pure hair-nail type	2	2	2
C4021167	tapered toe	2	2	2
C0919718	calcification of mitral valve	2	2	2
C1838327	polycystic kidneys, severe infantile with tuberous sclerosis	2	2	2
C0268624	sulfite oxidase deficiency	2	2	2
C1855698	scalp aplasia cutis congenita	2	2	3
C1857690	pulmonary arteriovenous malformation	2	2	2
C0553586	cafe-au-lait macules with pulmonary stenosis	2	2	2
C4025086	irregular metacarpals	2	2	2
C1836447	nemaline myopathy 4	2	2	2
C1836448	nemaline myopathy 1	2	2	2
C0038505	sturge-weber syndrome	2	2	2
C0271567	isolated growth hormone deficiency, type ii	2	2	2
C0432316	epidermolysis bullosa simplex with mottled pigmentation	2	2	2
C4024900	brainstem atrophy	2	2	2
C1969443	trifunctional protein deficiency with myopathy and neuropathy	2	2	2
C0872218	mitochondrial neurogastrointestinal encephalopathy syndrome	2	2	3
C0340834	hennekam lymphangiectasia lymphedema syndrome	2	2	2
C1876185	dysgnathia complex	2	2	2
C0024790	paroxysmal nocturnal hemoglobinuria	2	2	3
C0162359	christ-siemens-touraine syndrome	2	2	3
C4280432	failure of development of condylar head of mandible	2	2	2
C4280431	failure of development of condylar neck of mandible	2	2	2
C0263625	subcutaneous calcification	2	2	2
C3804991	benign genitourinary tract neoplasm	2	2	2
C0080333	weber-cockayne syndrome	2	2	2
C4025317	bilateral choanal atresia	2	2	2
C3276276	mitochondrial complex v (atp synthase) deficiency, nuclear type 1	2	2	2
C0238210	malrotation of kidney	2	2	2
C4021564	hypoplasia of the lacrimal puncta	2	2	3
C0151517	complete atrioventricular block	2	2	2
C0431527	laryngeal hypoplasia	2	2	2
C1631597	ventricular tachycardia, catecholaminergic polymorphic, 1 (disorder)	2	2	4
C3809221	muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type b, 14	2	2	5
C0432336	cutis laxa, recessive, type i	2	2	2
C0041341	tuberous sclerosis	2	2	3
C0020258	hydrocephalus, normal pressure	2	2	2
C0037859	spermatocele	2	2	2
C4023205	neoplasm of the anterior pituitary	2	2	2
C4025789	psychotic mentation	2	2	2
C3551954	coenzyme q10 deficiency, primary, 1	2	2	5
C1398301	short palate	2	2	3
C4225669	chromosome 10q22.3-q23.2 deletion syndrome	2	2	2
C1854630	growth deficiency and mental retardation with facial dysmorphism	2	2	2
C0423848	distichiasis	2	2	2
C0015499	factor v deficiency	2	2	2
C1389118	peroneal muscle atrophy	2	2	2
C0521618	stenosis of ureter	2	2	2
C0265354	charge syndrome	2	2	2
C0392464	ventricular aneurysm	2	2	2
C0740896	hypokalemic hypochloremic metabolic alkalosis	2	2	3
C0023443	hairy cell leukemia	2	2	2
C2363903	angiocentric glioma	2	2	2
C1619711	gastrointestinal telangiectasia	2	2	2
C3838883	phakomatosis cesioflammea	2	2	2
C0266444	congenital absence of vas deferens	2	2	2
C0019562	von hippel-lindau syndrome	2	2	2
C0079299	epidermolysis bullosa simplex kobner	2	2	2
C0020758	congenital ichthyosis	2	2	3
C0079295	epidermolysis bullosa herpetiformis dowling-meara	2	2	2
C0001202	acrokeratosis	2	2	2
C2315541	diverticulum of renal calyx	2	2	2
C0343057	keratosis pilaris decalvans	2	2	3
C0877017	partial seizures with secondary generalisation	2	2	4
C2749861	mitochondrial dna depletion syndrome 8a (encephalomyopathic type with renal tubulopathy)	2	2	3
C1562761	punctate epithelial keratitis	2	2	2
C1961835	gaucher disease, type 1	2	2	2
C1863062	quadriplegia, episodic	2	2	2
C1846006	ectodermal dysplasia, hypohidrotic, with immune deficiency	2	2	2
C3150902	c1q deficiency	2	2	2
C0431109	choroid plexus carcinoma	2	2	2
C4025109	abnormal hand morphology	2	2	2
C0014743	erythema nodosum	2	2	2
C0795864	smith-magenis syndrome	2	2	2
C1864887	cortical dysplasia-focal epilepsy syndrome	2	2	2
C0042870	vitamin d deficiency	2	2	2
C0342208	multinodular goiter	2	2	2
C0740302	5q-syndrome	2	2	2
C0265331	autosomal dominant hypohidrotic ectodermal dysplasia syndrome (disorder)	2	2	3
C0220659	acrodysostosis	2	2	2
C1842552	limb-girdle muscle atrophy	2	2	2
C1695776	vertebral wedging	2	2	4
C0152020	gastroparesis	2	2	3
C3553754	absent toes	2	2	4
C1519176	salivary gland pleomorphic adenoma	2	2	2
C3805412	cataract 41	1	1	1
C1840333	barakat syndrome	1	1	1
C3805410	cataract 20, multiple types	1	1	1
C3805411	cataract 30	1	1	1
C1838601	retinitis pigmentosa 11	1	1	1
C3280452	spinocerebellar ataxia, autosomal recessive 12	1	1	1
C0342788	renal carnitine transport defect	1	1	1
C0342783	deficiency of butyryl-coa dehydrogenase	1	1	1
C1845861	mental retardation, x-linked, with short stature, hypogonadism, and abnormal gait	1	1	1
C1845862	creatine deficiency, x-linked	1	1	1
C0856750	aneurysm of descending aorta	1	1	1
C0031190	persistent fetal circulation syndrome	1	1	2
C0220730	fryns syndrome	1	1	1
C1850674	minicore myopathy with external ophthalmoplegia (disorder)	1	1	2
C1533587	hydroxymethylglutaric aciduria	1	1	1
C1856738	fibular hypoplasia and complex brachydactyly	1	1	2
C3150215	chromosome 6q24-q25 deletion syndrome	1	1	1
C0268149	glycogen storage disease type x	1	1	1
C0268140	xeroderma pigmentosum, group f	1	1	1
C0268141	xeroderma pigmentosum, group g	1	1	1
C1300257	thanatophoric dysplasia, type 2	1	1	1
C0795915	winter shortland temple syndrome	1	1	1
C0795910	cowchock syndrome	1	1	1
C3810043	immunodeficiency 15	1	1	1
C1863557	young simpson syndrome	1	1	1
C1863551	hypercholesterolemia, autosomal dominant, 3	1	1	1
C3810042	macular degeneration, age-related, 15	1	1	1
C1336839	type 1 papillary renal cell carcinoma	1	1	1
