C0000744	abetalipoproteinemia
C0410174	fukuyama type congenital muscular dystrophy
C0410179	scleroatonic muscular dystrophy
C0410180	eichsfeld type congenital muscular dystrophy
C0410190	autosomal dominant emery-dreifuss muscular dystrophy (disorder)
C0410192	muscular dystrophy, scapulohumeral
C0410203	x-linked centronuclear myopathy
C0410204	myopathy, centronuclear, autosomal recessive
C0410207	tubular aggregate myopathy
C0410214	myopathy with abnormal lipid metabolism
C0410264	contracture of tendo achilles
C0410266	contracture of hamstring(s)
C0410422	chronic multifocal osteomyelitis
C0410529	hypochondroplasia (disorder)
C0410530	metachondromatosis
C0410538	pseudoachondroplasia
C0410539	craniodiaphyseal dysplasia
C0410550	collapse of vertebra
C0410574	synovial hypertrophy
C0410607	intervertebral disk calcification
C0410632	schmorl's nodes
C0410653	atlantoaxial instability
C0410740	acquired deformity of finger
C0423319	atrophic iris
C0423320	iridodonesis
C0423361	posterior vitreous detachment
C0423848	distichiasis
C0424082	hallucinations, hypnapompic
C0424290	compulsive hoarding
C0424296	social disinhibition
C0426799	congenital hypoplasia of clavicle
C0426824	beading of ribs
C0426970	spastic quadriplegia
C0428791	aortic valve calcification
C0428851	dilatation of pulmonary artery, unspecified
C0431108	anaplastic oligoastrocytoma
C0431109	choroid plexus carcinoma
C0431362	lobar holoprosencephaly
C0431363	alobar holoprosencephaly
C0431368	partial agenesis of corpus callosum
C0431369	dysgenesis of corpus callosum
C0431370	atrophy of corpus callosum
C0431371	absence of septum pellucidum
C0431375	classical lissencephaly
C0431376	cobblestone lissencephaly
C0431380	cortical dysplasia
C0431384	colpocephaly
C0431391	hemimegalencephaly
C0431399	familial aplasia of the vermis
C0431401	gillespie syndrome
C0431447	synophrys
C0431448	absent eyebrow
C0431478	posteriorly rotated ear
C0431483	simple ear
C0431527	laryngeal hypoplasia
C0431564	lobulated tongue
C0431663	bilateral cryptorchidism
C0431664	unilateral cryptorchidism
C0431692	bilateral renal hypoplasia
C0431693	renal cysts and diabetes syndrome
C0431718	multiple renal cysts
C0431863	carpal synostosis
C0431890	hypoplasia of thumb
C0431904	ulnar polydactyly of fingers
C0432028	split foot
C0432040	simple syndactyly of toes, first web space
C0432055	simple syndactyly of fingers - first web
C0432090	cleft of hard palate
C0432098	cleft soft palate
C0432103	submucous cleft of hard palate
C0432122	interfrontal craniofaciosynostosis
C0432123	interparietal craniosynostosis
C0432149	lumbar hemivertebra
C0432152	thoracic hemivertebra
C0432163	defect of vertebral segmentation
C0432185	aplasia of muscle
C0432194	schneckenbecken dysplasia
C0432197	short rib-polydactyly syndrome, verma-naumoff type
C0432201	boomerang dysplasia
C0432211	spondyloepimetaphyseal disorder
C0432215	progressive pseudorheumatoid dysplasia
C0432217	wolcott-rallison syndrome
C0432219	opsismodysplasia
C0432221	spondylometaphyseal dysplasia, 'corner fracture' type
C0432222	spondyloenchondrodysplasia
C0432225	metaphyseal chondrodysplasia spahr type
C0432226	metaphyseal anadysplasia
C0432227	brachyolmia type 3
C0432230	langer mesomelic dysplasia syndrome
C0432233	trichorhinophalangeal dysplasia type i
C0432235	cranioectodermal dysplasia
C0432240	stuve-wiedemann dysplasia
C0432242	desbuquois syndrome
C0432243	spondyloepimetaphyseal dysplasia with joint laxity
C0432246	microcephalic osteodysplastic primordial dwarfism, type ii
C0432252	osteoporosis with pseudoglioma
C0432253	bruck syndrome
C0432255	geroderma osteodysplastica
C0432261	osteopetrosis - intermediate type
C0432262	dysosteosclerosis
C0432268	osteopathia striata cranial sclerosis
C0432269	lenz majewski hyperostotic dwarfism
C0432272	van buchem disease
C0432273	worth disease
C0432283	osteoglophonic dwarfism
C0432284	infantile myofibromatosis
C0432289	winchester syndrome (disorder)
C0432291	mandibuloacral dysostosis
C0432292	familial expansile osteolysis
C0432306	ichthyosis bullosa of siemens
C0432307	ichthyosis hystrix of curth-macklin
C0432316	epidermolysis bullosa simplex with mottled pigmentation
C0432317	epidermolysis bullosa simplex, ogna type
C0432321	epidermolysis bullosa, pretibial
C0432322	dominant dystrophic epidermolysis bullosa, albopapular type (disorder)
C0432328	xeroderma pigmentosum, variant form
C0432333	abnormal dermatoglyphic pattern
C0432336	cutis laxa, recessive, type i
C0432347	uncombable hair syndrome
C0432355	hypoplasia of nipple
C0432357	congenital absence of breast with absent nipple
C0432363	shagreen patch
C0432475	xx males
C0442880	periungual fibroma
C0451695	major histocompatibility complex class i deficiency
C0451696	major histocompatibility complex class ii deficiency
C0452138	sensorineural hearing loss, bilateral
C0452147	hypospadias, penoscrotal
C0452148	hypospadias, perineal
C0452168	hypospadias, balanic
C0454455	mirror movements disorder
C0455988	hydrops fetalis, non-immune
C0457013	weyers acrofacial dysostosis
C0457133	muscle eye brain disease
C0472767	beta thalassemia intermedia
C0472777	hemoglobin e/beta thalassemia disease
C0472813	x-linked agammaglobulinemia with growth hormone deficiency
C0472817	whim syndrome
C0473133	protracted diarrhea
C0473219	renal hypouricemia
C0473527	hypoalphalipoproteinemias
C0473579	porokeratotic eccrine ostial and dermal duct nevus
C0473586	michelin tire baby syndrome
C0474355	peripheral retinal neovascularization
C0474819	glomus vagale tumor
C0475813	alpha thalassemia-mental retardation syndrome
C0476089	endometrial carcinoma
C0476254	dyslexia
C0477341	encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere
C0494261	combined immunodeficiency
C0494475	tonic - clonic seizures
C0494497	polyneuropathy in other endocrine and metabolic diseases
C0495499	congenital absence, atresia and stricture of auditory canal (external)
C0496897	benign neoplasm of eye, unspecified
C0497327	dementia
C0520463	chronic active hepatitis
C0520557	arteriovenous malformation of liver
C0520679	sleep apnea, obstructive
C0520680	sleep apnea, central
C0520736	coombs positive hemolytic anemia
C0520739	hereditary pyropoikilocytosis
C0520743	mediastinal lymphadenopathy
C0521173	granulomatosis
C0521533	atrial septal aneurysm
C0521618	stenosis of ureter
C0521620	dilatation of ureter
C0521683	chorioretinal degeneration
C0521694	atrophic retina
C0521719	clouding of corneal stroma
C0521723	corneal dystrophy, epithelial basement membrane
C0521736	lower eyelid ectropion
C0521770	asteroid hyalosis
C0521802	congenital atransferrinemia
C0524524	pseudoaphakia
C0524582	mulibrey nanism
C0541912	duodenal cancer
C0542035	erythroid hypoplasia
C0542037	hypotriglyceridaemia
C0542428	hypochondrogenesis
C0542519	congenital absence of kidney
C0542571	facial edema
C0543514	glycogen storage disease ixb
C0543541	hyperglycinuria (disorder)
C0543669	neutrophilia, hereditary
C0543800	idiopathic hypercalciuria
C0543859	amyotrophic lateral sclerosis, guam form
C0543888	epileptic encephalopathy
C0546125	nemaline myopathy, childhood onset
C0546264	congenital fiber type disproportion
C0546297	hallux varus
C0546389	periportal hepatic necrosis
C0546817	fluid overload
C0546964	genu recurvatum
C0546966	monilethrix
C0546967	posterior embryotoxon
C0546968	fistula of branchial cleft
C0546969	preauricular fistulae, congenital
C0549122	relative afferent pupillary defect
C0549306	mesomelia
C0549307	morning glory syndrome
C0549463	x-linked lymphoproliferative disorder
C0549473	thyroid carcinoma
C0553580	ewings sarcoma
C0553586	cafe-au-lait macules with pulmonary stenosis
C0553681	hypofibrinogenemia
C0553723	squamous cell carcinoma of skin
C0553730	calcium pyrophosphate deposition disease
C0555206	chiari malformation type ii
C0557874	global developmental delay
C0559106	ventricular preexcitation
C0559506	neonatal unconjugated hyperbilirubinemia
C0561921	perineal fistula
C0563449	epispadias, male (disorder)
C0565599	maternal hypertension
C0566602	primary sclerosing cholangitis
C0573196	overdose of cocaine
C0574080	guanidinoacetate methyltransferase deficiency
C0574083	3-methylglutaconic aciduria type 2
C0574084	3-methylglutaconic aciduria type 3
C0575059	spastic tetraparesis
C0575157	deformity of spine
C0575158	kyphoscoliosis deformity of spine
C0576093	knee joint valgus deformity
C0578682	madarosis of eyebrow
C0580190	3-phosphoglycerate dehydrogenase deficiency
C0581354	recurrent sinusitis
C0581381	recurrent upper respiratory tract infection
C0581391	chronic depression
C0585216	alpha-thalassemia myelodysplasia syndrome
C0585274	periodic syndrome
C0585984	laryngotracheomalacia
C0586323	alcohol withdrawal seizures
C0587248	costello syndrome (disorder)
C0588006	mild depression
C0588008	severe depression
C0595948	atypical absence seizure
C0595989	carcinoma of larynx
C0598226	harlequin type ichthyosis
C0599973	waardenburg anophthalmia syndrome
C0600031	congenital absence of spleen
C0600104	obsessive compulsive behavior
C0600427	cocaine dependence
C0600433	activated protein c resistance
C0677607	hashimoto disease
C0677776	hereditary breast and ovarian cancer syndrome
C0678199	dyserythropoietic anemia
C0678213	complete hydatidiform mole
C0678222	breast carcinoma
C0678230	congenital epicanthus
C0683322	mental impairment
C0684249	carcinoma of lung
C0684324	deficiency of phosphoglycerate kinase
C0684337	ewings sarcoma-primitive neuroectodermal tumor (pnet)
C0685381	congenital hypoplasia of radius
C0685409	congenital camptodactyly
C0685682	single naris
C0685684	congenital hypoplasia of nose
C0685695	abnormal lung lobation
C0685707	muscular ventricular septum defect
C0685775	congenital absence of jaw
C0685776	congenital absence of mandible
C0685787	cleft face
C0685837	pure gonadal dysgenesis, 46, xx
C0685838	gonadal dysgenesis xx type deafness
C0685840	congenital hypoplasia of ovary
C0685889	splenic hypoplasia
C0685891	congenital hypoplasia of thymus
C0685894	congenital absence of thymus
C0687120	nephronophthisis
C0687132	heavy drinking
C0687149	pure gonadal dysgenesis
C0687150	parathyroid gland adenocarcinoma
C0687720	central diabetes insipidus
C0687751	acanthocytosis
C0694550	recurrent pneumonia
C0699743	congenital muscular dystrophy (disorder)
C0699791	stomach carcinoma
C0699885	carcinoma of bladder
C0700208	acquired scoliosis
C0700299	heinz body anemias
C0700501	congenital nystagmus
C0700502	acquired hypothyroidism
C0700635	strudwick syndrome
C0702139	congenital absence of external ear
C0702166	acne
C0728829	congenital pes cavus
C0728895	absent finger
C0729582	floating-harbor syndrome
C0730290	cone dystrophy
C0730292	macular dystrophy
C0730294	north carolina macular dystrophy
C0730303	capillary hemangioma of retina
C0730330	chloroquine retinopathy
C0733682	hypophosphatemic rickets, x-linked dominant
C0740277	bile duct carcinoma
C0740279	atrophy of cerebellum
C0740302	5q-syndrome
C0740394	hyperuricemia
C0740749	chronic metabolic acidosis
C0740852	upper airway obstruction
C0740858	substance abuse problem
C0740895	hypochloremic metabolic alkalosis
C0740896	hypokalemic hypochloremic metabolic alkalosis
C0740898	hypokalemic metabolic alkalosis
C0741296	ostium primum atrial septal defect
C0741796	recurrent bronchitis
C0742191	cervical spinal cord atrophy
C0742747	high-output congestive heart failure
C0743072	depression, psychotic
C0743178	diarrhea, intractable
C0743332	focal dystonia
C0743359	ear infection chronic
C0744321	gastrointestinal arteriovenous malformation
C0744641	intermittent migraine headaches
C0745103	hyperlipoproteinemia type iia
C0745730	multiple lipomata
C0746102	chronic lung disease
C0746495	recurrent meningitis
C0746926	multiple, subcutaneous nodules
C0747078	generalized osteopenia
C0747085	recurrent otitis media
C0747651	recurrent aspiration pneumonia
C0748140	multiple pulmonary infections
C0748397	reynolds syndrome
C0748540	scleroderma, limited
C0748720	chronic sinus disease
C0749379	thoracolumbar scoliosis
C0749420	thyroid agenesis
C0750145	vascular disease occlusive
C0750927	apraxia, developmental verbal
C0750929	arnold-chiari malformation, type i
C0751003	brain aneurysm
C0751037	cockayne syndrome, type iii
C0751038	cockayne syndrome, type ii
C0751039	cockayne syndrome, type i
C0751083	duane retraction syndrome, type 2
C0751122	infantile severe myoclonic epilepsy
C0751156	fraxa syndrome
C0751157	fraxe syndrome
C0751161	udpglucose 4-epimerase deficiency disease
C0751202	cystathionine beta-synthase deficiency disease
C0751208	juvenile huntington disease
C0751273	infantile globoid cell leukodystrophy
C0751276	metachromatic leukodystrophy, juvenile type
C0751279	metachromatic leukodystrophy, adult-type (disorder)
C0751285	maple syrup urine disease, thiamine responsive
C0751291	desmoplastic medulloblastoma
C0751335	scapuloperoneal form of spinal muscular atrophy
C0751337	x-linked emery-dreifuss muscular dystrophy
C0751360	becker generalized myotonia
C0751362	narcolepsy-cataplexy syndrome
C0751383	juvenile neuronal ceroid lipofuscinosis
C0751434	classical phenylketonuria
C0751435	hyperphenylalaninaemia
C0751466	phonophobia
C0751483	familial retinoblastoma
C0751489	adult sandhoff disease
C0751490	infantile sandhoff disease
C0751491	juvenile sandhoff disease
C0751559	pulsatile tinnitus
C0751576	partial paralysis (paresis) vocal cords
C0751587	cadasil syndrome
C0751617	semilobar holoprosencephaly
C0751668	machado-joseph disease type i
C0751669	machado-joseph disease type ii
C0751670	machado-joseph disease type iii
C0751674	lymphangioleiomyomatosis
C0751688	malignant squamous cell neoplasm
C0751690	malignant peripheral nerve sheath tumor
C0751706	primary progressive nonfluent aphasia
C0751748	nonketotic hyperglycinemia
C0751753	carbamoyl-phosphate synthase i deficiency disease
C0751778	myoclonic epilepsies, progressive
C0751779	action myoclonus-renal failure syndrome
C0751781	dentatorubral-pallidoluysian atrophy
C0751783	lafora disease
C0751785	unverricht-lundborg syndrome
C0751883	congenital myasthenic syndromes, postsynaptic
C0751884	congenital myasthenic syndromes, presynaptic
C0751916	classic pelizaeus-merzbacher disease
C0751917	pelizaeus-merzbacher disease, transitional
C0751951	central core myopathy (disorder)
C0752120	spinocerebellar ataxia type 1
C0752121	spinocerebellar ataxia type 2
C0752122	spinocerebellar ataxia type 4
C0752123	spinocerebellar ataxia type 5
C0752124	spinocerebellar ataxia type 6 (disorder)
C0752125	spinocerebellar ataxia type 7
C0752166	bardet-biedl syndrome
C0752210	dyskinesias, paroxysmal
C0752323	focal clonic seizures
C0752347	lewy body disease
C0752353	atrophy, muscular, spinobulbar
C0752355	myotonia fluctuans (disorder)
C0795690	congenital omphalocele
C0795806	chromosome 3, monosomy 3p
C0795833	kleefstra syndrome
C0795841	jacobsen distal 11q deletion syndrome
C0795864	smith-magenis syndrome
C0795889	allan-herndon-dudley syndrome (ahds)
C0795902	coloboma, cleft lip-palate and mental retardation syndrome
C0795905	cantu syndrome
C0795907	conotruncal anomaly face syndrome
C0795910	cowchock syndrome
C0795915	winter shortland temple syndrome
C0795934	digitorenocerebral syndrome
C0795940	filippi syndrome
C0795949	galloway mowat syndrome
C0795950	corpus callosum agenesis neuronopathy
C0795953	masa syndrome (disorder)
C0795956	chylomicron retention disease
C0795996	striatonigral degeneration, infantile (disorder)
C0795998	jackson-weiss syndrome
C0796003	juberg-marsidi syndrome
C0796004	kabuki make-up syndrome
C0796012	krause-kivlin syndrome
C0796013	zimmerman laband syndrome
C0796016	microphthalmia, syndromic 1
C0796019	spastic paraplegia 23 (disorder)
C0796022	lujan fryns syndrome
C0796028	ataxia, fatal x-linked, with deafness and loss of vision
C0796031	malouf syndrome
C0796033	marden-walker syndrome
C0796037	martsolf syndrome
C0796063	microcephaly-digital anomalies syndrome
C0796068	oculodigitoesophagoduodenal syndrome
C0796070	microphthalmia, syndromic 7
C0796074	mohr-tranebjaerg syndrome
C0796081	growth mental deficiency syndrome of myhre
C0796083	najjar syndrome
C0796085	nance-horan syndrome
C0796089	lissencephaly syndrome, norman-roberts type
C0796093	odontoonychodermal dysplasia
C0796095	opitz trigonocephaly syndrome
C0796113	nephroblastomatosis, fetal ascites, macrosomia and wilms tumor
C0796121	primrose syndrome
C0796122	progressive encephalopathy with edema, hypsarrhythmia and optic atrophy syndrome
C0796124	proud syndrome
C0796126	aicardi-goutieres syndrome 1
C0796135	renpenning syndrome 1
C0796137	3c syndrome
C0796147	acrocallosal syndrome
C0796149	scott syndrome
C0796154	simpson-golabi-behmel syndrome, type 1
C0796159	mental retardation smith fineman myers type
C0796160	mental retardation, x-linked, snyder-robinson type
C0796173	spondyloperipheral dysplasia short ulna
C0796176	stuve-wiedemann syndrome
C0796182	acromelic frontonasal dysplasia
C0796195	waisman syndrome
C0796200	wieacker-wolff syndrome
C0796205	spinocerebellar ataxia, x-linked 1
C0796208	mental retardation, x-linked 3
C0796218	mental retardation, x-linked 12
C0796225	mental retardation, x-linked 19
C0796232	bohring syndrome
C0796237	mental retardation, x-linked 30
C0796244	mental retardation, x-linked, with or without seizures, arx-related (disorder)
C0796250	partington x-linked mental retardation syndrome
C0796254	dandy-walker malformation with mental retardation, basal ganglia disease, and seizures
C0796274	brown-vialetto-van laere syndrome
C0796275	brunner syndrome
C0796279	carnevale syndrome
C0796280	acromegaloid facial appearance syndrome
C0812437	oculo-dento-digital syndrome
C0836924	thrombocytosis
C0850715	abnormality of blood and blood-forming tissues
C0852283	respiratory distress syndrome
C0853193	bipolar i disorder
C0853877	urogenital fistula
C0854107	haemorrhage subcutaneous
C0854110	insulin resistant diabetes
C0854242	gastrointestinal angiodysplasia
C0856727	cholesterol gallstones
C0856750	aneurysm of descending aorta
C0856761	budd-chiari syndrome
C0856823	undifferentiated type acute leukemia
C0856830	calcium pyrophosphate arthropathy
C0856975	autistic behavior
C0857007	hyperbilirubinemia, neonatal
C0857501	acute schizophrenia
C0857812	sickle cell-beta^+^-thalassemia
C0858617	posterior subcapsular cataract
C0858618	dyschromatopsia
C0859942	hanot's cirrhosis
C0859976	idiopathic achalasia of esophagus
C0860204	cholestatic liver disease
C0870082	hyperkeratosis
C0872218	mitochondrial neurogastrointestinal encephalopathy syndrome
C0876991	histiocytosis haematophagic
C0877017	partial seizures with secondary generalisation
C0877024	schimke immunoosseous dysplasia
C0877056	hypoglycaemic seizure
C0878555	diffuse panbronchiolitis
C0878676	6-pyruvoyl-tetrahydropterin synthase deficiency
C0878677	glycogen storage disease type iib
C0878682	ceruloplasmin deficiency
C0878683	pituitary dwarfism type 3
C0878684	short syndrome
C0917713	becker muscular dystrophy
C0917715	hajdu-cheney syndrome
C0917796	optic atrophy, hereditary, leber
C0917798	cerebral ischemia
C0917799	hypersomnia
C0917800	epilepsy, myoclonic, infantile
C0917805	transient cerebral ischemia
C0917814	aphasia, expressive
C0917816	mental deficiency
C0917817	neurofibromatosis 3
C0917990	acro-osteolysis
C0919267	ovarian neoplasm
C0919718	calcification of mitral valve
C0919997	thickened achilles tendon
C0920163	idiopathic thrombocytopenia
C0920299	overriding toe
C0936215	vitamin b 6 deficiency
C0936256	lysine alpha-ketoglutarate reductase deficiency disease
C0947912	myasthenias
C0948008	ischemic stroke
C0948060	iridocele
C0948187	tracheomalacia
C0948216	ovarian adenocarcinoma
C0948242	nuchal bleb, familial
C0948368	kaufman-mckusick syndrome
C0948387	secondary adrenal insufficiency
C0948740	pituitary hypoplasia
C0948896	primary hypogonadism
C0949059	polyp of large intestine
C0949173	delayed menarche
C0949506	porokeratosis of mibelli
C0949595	gonadal dysgenesis, 46,xx
C0949658	cardiomyopathy, hypertrophic, familial
C0950121	denys-drash syndrome
C0950122	frasier syndrome
C0973461	dysphasia
C1096086	deformity of lower limb
C1096274	corneal thinning
C1096654	cardiac fibroma
C1096902	infantile sialic acid storage disease
C1096903	sialic acid storage disease, finnish type (disorder)
C1112256	peripheral sensorimotor neuropathy
C1112433	thromboembolic stroke
C1112442	female sexual dysfunction
C1112601	hypertonic dehydration
C1112705	nuclear non-senile cataract
C1136033	cutaneous mastocytosis
C1136382	sclerocystic ovaries
C1140680	malignant neoplasm of ovary
C1142166	brugada syndrome (disorder)
C1145670	respiratory failure
C1148551	x-linked dyskeratosis congenita
C1167664	situs ambiguous
C1168401	squamous cell carcinoma of the head and neck
C1184923	lumbar lordosis
C1257877	pheochromocytoma, extra-adrenal
C1257915	intestinal polyposis
C1258104	diffuse scleroderma
C1258215	ileus
C1260386	glucocorticoid-remediable aldosteronism
C1260899	anemia, diamond-blackfan
C1260959	drusen
C1261473	sarcoma
C1263023	macroorchidism
C1263846	attention deficit hyperactivity disorder
C1263857	peripheral axonal neuropathy
C1263858	muscular dystrophy congenital, merosin negative
C1264039	von willebrand disease, type 1
C1264040	von willebrand disease, type 2
C1264041	von willebrand disease, type 3
C1266144	pleuropulmonary blastoma
C1266181	dysplastic gangliocytoma of cerebellum (lhermitte-duclos)
C1268935	congenital thrombotic thrombocytopenic purpura
C1269683	major depressive disorder
C1271219	congenital ectopic pupil
C1274743	hyperhidrosis palmaris et plantaris
C1274789	ligneous conjunctivitis
C1274865	scleroderma-like secondary cutaneous sclerosis
C1275074	odonto-onycho-dermal dysplasia
C1275078	acrocephalopolysyndactyly type 2
C1275081	cardio-facio-cutaneous syndrome
C1275114	epidermolysis bullosa pruriginosa
C1275122	familial multiple trichoepitheliomata
C1275126	tnf receptor-associated periodic fever syndrome (traps)
C1275278	extraskeletal myxoid chondrosarcoma
C1275336	hashimoto-pritzker syndrome
C1275685	avellino corneal dystrophy
C1275808	congenital central hypoventilation
C1276035	pena-shokeir syndrome type i
C1279412	periodic paralysis (finding)
C1279481	x-linked combined immunodeficiency diseases
C1280433	lipoatrophy
C1280798	von willebrand disease, platelet type
C1282908	de vaal's syndrome
C1282952	enthesitis
C1282968	von willebrand disease, type 2a
C1282971	von willebrand disease, type 2b
C1282974	von willebrand disease type 2m
C1282975	von willebrand disease, type 2n
C1283400	butyrylcholinesterase deficiency
C1283620	sucrase-isomaltase deficiency, congenital
C1285291	fetal ascites
C1288283	atrophoderma maculatum
C1290398	cerebral arterial aneurysm
C1290511	anodontia of permanent dentition
C1290587	failure of tooth eruption
C1290708	osteomyelitis of mandible
C1291230	3-hydroxyacyl-coa dehydrogenase deficiency
C1291266	deficiency of aldehyde oxidase
C1291299	deficiency of iodide peroxidase (disorder)
C1291329	transaldolase deficiency
C1291386	d-glycericacidemia
C1291463	deficiency of phosphoserine phosphatase
C1291490	hyaluronidase deficiency
C1291512	beta-ureidopropionase deficiency
C1291560	deficiency of glutamate decarboxylase
C1291564	deficiency of aromatic-l-amino-acid decarboxylase
C1291609	ribose 5-phosphate isomerase deficiency
C1291611	deficiency of glucose-6-phosphate isomerase
C1291620	deficiency of bisphosphoglycerate mutase
C1292754	mediastinal (thymic) large b-cell lymphoma
C1292772	leukemia, myeloid, chronic, atypical, bcr-abl negative
C1292773	acute myeloid leukemia with multilineage dysplasia
C1292775	acute myeloid leukemia, 11q23 abnormalities
C1298692	cleft lip and alveolus
C1298695	hypoplasia of optic disc
C1300202	diaphyseal medullary stenosis with bone malignancy
C1300257	thanatophoric dysplasia, type 2
C1300267	brachydactyly syndrome type b
C1300268	brachydactyly syndrome type c
C1301362	lymphoma, primary cutaneous anaplastic large cell
C1301365	systemic mastocytosis with associated clonal, hematologic non-mast-cell lineage disease
C1301509	severe visual impairment
C1301937	talipes
C1301959	bulbar weakness
C1302995	congenital fibrosis of the extraocular muscles
C1302999	ankyloblepharon filiforme adnatum
C1303073	nicolaides baraitser syndrome
C1305147	congenital supravalvular aortic stenosis
C1305420	prominent ear
C1305740	overbite
C1306067	drug-induced paranoid state
C1306122	oguchi disease
C1306229	dyschromatosis universalis
C1306587	acute encephalopathy
C1306589	congenital dyserythropoietic anemia, type ii
C1306837	papillary renal cell carcinoma
C1306856	megaloblastic anemia due to inborn errors of metabolism
C1306889	peripheral arterial occlusive disease
C1313961	trichorrhexis nodosa syndrome
C1318518	infantile malignant osteopetrosis
C1318558	congenital melanocytic nevus
C1319466	barber say syndrome
C1319853	asthma, aspirin-induced
C1321489	torre-muir syndrome
C1321551	shprintzen-goldberg syndrome
C1321884	atresia of vagina
C1321907	congenital absence of parathyroid gland
C1327915	congenital amegakaryocytic thrombocytopenia
C1327916	revesz syndrome (disorder)
C1327918	oculootoradial syndrome
C1327919	myelocerebellar disorder
C1328349	neuropathy ataxia and retinis pigmentosa
C1328355	laryngoonychocutaneous syndrome
C1328407	hip dysplasia
C1328514	pigmentary retinal deposits
C1328840	autoimmune lymphoproliferative syndrome
C1328931	multiple lentigines
C1332079	anaplastic large cell lymphoma, alk-positive
C1332852	cardiac rhabdomyoma
C1332900	cerebellar hemangioblastoma
C1332965	congenital mesoblastic nephroma
C1333160	lipoma of corpus callosum
C1333294	alk positive large b-cell lymphoma
C1333985	hereditary clear cell renal cell carcinoma
C1333990	hereditary nonpolyposis colorectal cancer
C1333991	hereditary non-polyposis colon cancer type 2
C1334970	medulloblastoma with extensive nodularity
C1335929	schwannomatosis
C1336708	testicular germ cell tumor
C1336839	type 1 papillary renal cell carcinoma
C1367420	kaposiform hemangioendothelioma
C1368816	sebaceous adenoma
C1370889	liposarcoma, well differentiated
C1378703	renal carcinoma
C1384590	hemangiomatosis
C1384600	systemic onset juvenile chronic arthritis
C1384670	single umbilical artery
C1385263	facial deformity
C1387532	chronic hemolytic anemia
C1389016	atrioventricular canal defect
C1389018	atrioventricular septal defect
C1389102	atrophic spinal cord
C1389113	generalized amyotrophy
C1389118	peroneal muscle atrophy
C1389851	parathyroid hypoplasia
C1392104	coralliform cataract
C1393669	congenital onychodystrophy
C1393871	congenital finger contractures
C1394030	coronal hypospadias
C1394691	bowel diverticula
C1394891	intrinsic factor deficiency
C1395674	bowel diverticulosis
C1395852	polydactyly preaxial type 1
C1396126	perioral eczema
C1396772	congenital hypoplasia of epiglottis
C1397139	calcification of falx cerebri
C1398301	short palate
C1398325	absent auditory canals
C1398522	cleft palate and bilateral cleft lip
C1401086	peripheral vascular insufficiency
C1403035	subcutaneous lipomas
C1404521	limb-girdle myopathy
C1405854	retinitis punctata albescens (disorder)
C1405984	absent radius
C1406921	thoracic dysplasia
C1408507	supranuclear ophthalmoplegia
C1409412	periostosis
C1411876	developmental arithmetic disorder
C1414017	deafness, autosomal recessive 25
C1414216	dystonia 6, torsion (disorder)
C1415817	heterotaxy, visceral, 2, autosomal
C1442837	myocardial necrosis
C1442978	hernia of abdominal wall
C1442988	rudimentary vagina
C1446712	overlapping fingers
C1449563	cardiomyopathy, familial idiopathic
C1449842	pseudohypoaldosteronism, type i, autosomal dominant
C1449843	pseudohypoaldosteronism, type i, autosomal recessive
C1450010	plagiocephaly, nonsynostotic
C1450051	autosomal recessive emery-dreifuss muscular dystrophy
C1455728	acute fatty liver of pregnancy
C1455734	congenital hypoparathyroidism
C1456240	narcolepsy without cataplexy
C1456784	paranoia
C1504382	pulmonary artery wall hypertrophy
C1504405	pyramidal tract syndrome
C1504412	testotoxicosis
C1509147	histiocytoma
C1510417	gait apraxia
C1510431	superficial thrombophlebitis
C1510460	orofaciodigital syndrome i
C1510586	autism spectrum disorders
C1512419	hereditary melanoma
C1514428	primary peritoneal carcinoma
C1514915	retinal hemangioblastoma
C1518716	ovarian gonadoblastoma
C1519176	salivary gland pleomorphic adenoma
C1527231	adrenomyeloneuropathy
C1527249	colorectal cancer
C1527284	dental pulp stone
C1527338	hereditary cerebral amyloid angiopathy, icelandic type
C1527366	salaam seizures
C1527388	amniotic bands
C1531773	currarino triad
C1533041	primary congenital glaucoma
C1533587	hydroxymethylglutaric aciduria
C1535950	gastrointestinal inflammation
C1535953	stenosis of foramen magnum
C1536451	central areolar choroidal sclerosis
C1536500	deficiency of acetyl-coa acetyltransferase
C1542327	fetus or newborn affected by alcohol transmitted via placenta or breast milk
C1562113	fleck corneal dystrophy
C1562689	congenital hereditary endothelial dystrophy
C1562761	punctate epithelial keratitis
C1562894	thiel-behnke corneal dystrophy
C1563705	nephrogenic diabetes insipidus, type i
C1563706	nephrogenic diabetes insipidus, type ii
C1563715	andersen syndrome
C1563716	thyroid dysgenesis
C1563719	kallmann syndrome 1
C1563720	kallmann syndrome 2 (disorder)
C1565489	renal insufficiency
C1567257	granulosa cell cancer
C1567426	unilateral multicystic dysplastic kidney
C1567427	bilateral multicystic dysplastic kidneys
C1567435	polycystic kidney - body part
C1567742	alport syndrome, x-linked
C1567743	alport syndrome, autosomal dominant
C1567744	alport syndrome, autosomal recessive
C1568247	usher syndrome, type i
C1568248	usher syndrome, type iii
C1568249	usher syndrome, type ii
C1578482	valgus deformities of feet
C1608393	megacystis microcolon intestinal hypoperistalsis syndrome
C1609433	congenital absence of kidneys syndrome
C1610065	urethral atresia
C1611195	congenital corneal dystrophy
C1611706	myosclerosis
